报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2008-12-31,
营业总收入(万元),134722,59216,222128,165869,108729,50423,172754,123397,72597,32770,163787,132714,102091,45856,199530,154387,107688,51678,194923,142442,94992,43132,161709,130625,94455,45516,198252,158683,110584,162584,81355,95315,72486,
营业收入(万元),134722,59216,222128,165869,108729,50423,172754,123397,72597,32770,163787,132714,102091,45856,199530,154387,107688,51678,194923,142442,94992,43132,161709,130625,94455,45516,198252,158683,110584,162584,81355,95315,72486,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),128295,56416,210833,158193,104684,48089,161765,114544,67132,30497,141895,111866,84531,38012,159846,120266,83776,40223,151241,111091,73856,33636,125247,100489,72262,34843,161775,130663,91017,134823,67043,78986,64066,
营业成本(万元),102283,43551,163043,123665,80668,36985,129791,93557,56854,25182,123124,98460,75293,33769,144281,110014,76911,36605,138128,101791,67874,30707,116853,94317,67663,32725,148524,119983,83646,124618,62850,72825,59773,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1071,487,1861,1248,848,405,1335,598,394,190,1127,889,733,264,1196,895,652,281,916,667,465,179,755,617,420,165,602,508,360,275,118,292,161,
销售费用(万元),6214,2947,10579,7661,5630,2619,8576,6996,3455,1616,7241,5338,3659,1698,6973,4875,3349,1642,6094,3984,2555,1223,4039,3178,2215,1042,4889,3722,2490,4034,1890,2171,1464,
管理费用(万元),17320,7631,30019,22063,15297,7171,22360,13871,7532,3926,13914,9827,6148,3331,12487,9021,5848,3011,10745,8108,5038,2318,8921,6393,4492,2067,8346,5452,3483,5414,2332,3160,2302,
财务费用(万元),1086,1038,2005,1571,938,158,-3008,-2158,-2002,-849,-6122,-4920,-3061,-1697,-6936,-5071,-3410,-1580,-5330,-3667,-2498,-1239,-5541,-4256,-2947,-1484,-1088,432,751,381,-2,280,77,
资产减值损失(万元),321,761,3326,1983,1304,751,2711,1679,900,431,2611,2273,1759,648,1845,532,426,264,688,208,423,447,219,460,419,328,503,567,287,101,-145,258,291,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),522,221,821,639,413,170,173,118,70,-20,245,160,165,77,362,303,211,114,405,321,225,108,276,220,134,65,8,8,-7,--,--,--,--,
对联营企业和合营企业的投资收益(万元),522,221,821,639,413,170,128,80,33,-11,133,160,165,77,362,303,211,114,405,321,225,108,276,220,134,65,8,8,-7,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
