报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),30898,20079,7178,33090,25945,15662,4751,22126,15348,10529,4225,20009,9345,4036,25228,31026,13882,
营业收入(万元),30898,20079,7178,33090,25945,15662,4751,22126,15348,10529,4225,20009,9345,4036,25228,31026,13882,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),25198,15972,5842,26716,20104,12403,4064,18335,12829,8672,3534,15623,6663,3121,16866,19133,8554,
营业成本(万元),15100,9252,3206,15765,12471,7604,2232,10460,7092,4749,1816,8424,3737,1656,9519,10784,5273,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),367,221,40,385,239,150,45,277,174,123,33,300,148,58,330,348,157,
销售费用(万元),3250,2222,986,3991,2726,1817,630,2581,2073,1319,512,2378,855,495,2846,3348,1269,
管理费用(万元),5195,3286,1553,5468,3944,2339,1075,4307,3035,2051,1066,3698,1588,779,3975,3994,1576,
财务费用(万元),19,-88,-40,24,15,23,35,-28,-24,-11,-8,-6,-7,-3,90,184,178,
资产减值损失(万元),1267,1078,96,1083,708,470,47,737,478,441,115,829,342,136,106,474,102,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),5984,4371,1337,6374,5841,3259,687,3791,2520,1857,691,4386,2682,915,8362,11893,5329,
营业外收入(万元),346,86,71,861,707,286,54,1181,709,375,331,252,144,32,494,290,246,
营业外支出(万元),80,68,2,28,19,10,4,23,34,29,1,15,5,5,8,15,27,
非流动资产处置损失(万元),78,67,1,21,13,9,--,17,1,28,--,9,5,3,0,14,11,
利润总额(万元),6250,4389,1406,7207,6530,3536,737,4949,3195,2204,1021,4623,2821,942,8848,12169,5548,
所得税费用(万元),758,543,179,928,1147,709,86,605,479,330,153,612,708,214,1244,1730,804,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),5492,3846,1228,6278,5383,2827,651,4345,2716,1874,868,4011,2113,729,7603,10439,4743,
归属于母公司所有者的净利润(万元),5492,3846,1228,6278,5383,2827,651,4345,2716,1874,868,4011,2113,729,7603,10439,4743,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.2,0.14,0.12,0.66,0.59,0.32,0.09,0.58,0.3,0.21,0.12,0.53,0.28,0.1,1.01,1.39,0.68,
稀释每股收益,0.2,0.14,0.12,0.65,0.59,0.32,0.09,0.58,0.3,0.21,0.12,0.53,0.28,0.1,1.01,1.39,0.68,
