报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2007-06-30,2006-12-31,2005-12-31,
营业总收入(万元),16501,193100,104194,59819,14430,213711,103343,56508,11915,179890,96710,47705,17552,160312,61915,39145,8972,123650,30312,18235,5252,45751,21452,13040,3454,31743,19597,11805,4161,50836,29447,14653,3655,37813,20185,10955,2777,26936,14407,5164,1065,21054,12175,7726,20085,5334,16351,11456,
营业收入(万元),16501,193100,104194,59819,14430,213711,103343,56508,11915,179890,96710,47705,17552,160312,61915,39145,8972,123650,30312,18235,5252,45751,21452,13040,3454,31743,19597,11805,4161,50836,29447,14653,3655,37813,20185,10955,2777,26936,14407,5164,1065,21054,12175,7726,20085,5334,16351,11456,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
营业总成本(万元),26695,188448,119890,74668,26504,201096,119773,74245,25763,168124,101047,55562,24765,147515,65898,41394,13710,114098,32150,20400,8409,45088,24929,15941,6937,33612,22398,14675,7361,42222,27146,13755,5390,31870,19379,11329,4879,24177,15650,8971,4591,18175,11608,7256,16562,5375,13811,9948,
营业成本(万元),11305,125494,75012,44811,9413,138268,75537,42702,8461,116475,64211,31546,11414,103891,38441,23588,4991,76708,14391,9137,2661,21719,8841,5260,1582,13194,8078,4888,1970,21073,13316,5405,1172,14530,7983,4088,1101,10111,4672,1711,361,6463,3111,1708,7239,1016,5248,2190,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
研发费用(万元),5787,19267,13315,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
营业税金及附加(万元),56,1420,668,364,70,2031,455,230,32,1546,476,320,175,1819,610,452,81,1234,425,254,61,521,258,157,68,622,286,175,63,717,390,223,61,533,293,124,26,435,207,65,14,302,148,95,296,59,267,180,
销售费用(万元),7628,23158,16992,11495,7065,21534,16380,10792,6022,17734,13234,8283,4710,12926,8692,5336,2722,10407,6185,4591,2803,9131,6579,4667,2564,7691,5986,3988,2218,8505,5746,3496,1953,7399,4868,3148,1707,5356,4188,2643,1584,4765,3695,2378,3954,1821,3503,3555,
管理费用(万元),4428,14321,10314,15866,9607,33023,24624,18048,10389,27065,19867,13875,7712,24744,16207,10530,5880,21210,8908,5583,2688,11708,8424,5393,2639,10387,7540,5286,3075,11375,7276,4483,2396,8591,5798,3750,2105,8587,6492,4494,2720,6208,4357,2775,4501,2144,4326,3558,
财务费用(万元),-783,-4303,-400,-279,-184,-1219,-654,31,222,557,223,112,-8,-90,-107,68,-4,-270,-236,-131,-56,-243,-130,-48,-20,-272,-167,-133,-64,-260,-183,-112,-43,-147,-110,-74,-42,-196,-149,-98,-56,-130,-47,-26,66,48,151,178,
资产减值损失(万元),-1727,9090,3989,2411,534,7460,3430,2443,637,4747,3034,1426,763,4224,2054,1420,39,4809,2477,966,252,2252,956,513,104,1990,675,471,99,812,601,260,-149,963,547,292,-18,-116,240,157,-31,565,345,325,506,287,316,287,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,
投资收益(万元),-58,-399,2647,1738,954,180,200,177,177,187,798,730,39,386,101,89,-1,0,--,--,--,--,--,--,--,-28,--,--,--,185,--,--,--,--,--,0,--,0,--,0,--,--,--,0,160,15,-7,21,
对联营企业和合营企业的投资收益(万元),-58,-419,-464,-405,-76,160,180,157,177,179,790,722,39,386,101,89,-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,15,0,-7,21,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
营业利润(万元),-9256,10534,-11559,-11711,-10666,15313,-14062,-15690,-13670,11953,-3538,-7127,-7175,13183,-3882,-2159,-4738,9552,-1838,-2164,-3158,664,-3477,-2901,-3483,-1896,-2801,-2869,-3199,8799,2301,898,-1736,5943,806,-374,-2102,2758,-1243,-3807,-3525,2879,567,471,3683,-25,2534,1529,
营业外收入(万元),11,2366,1892,385,52,5075,2572,335,736,7669,4641,3109,1786,5059,4399,1901,1095,4704,3308,1751,710,3577,3154,1734,281,3179,2279,1653,134,1996,865,258,39,1847,777,335,6,1974,1197,954,724,1294,631,321,577,24,29,665,
营业外支出(万元),1,57,5,5,4,74,9,5,0,16,1,1,0,7,8,5,0,8,7,3,2,1,2,1,--,13,3,2,0,5,25,20,0,21,4,16,0,1,1,0,0,43,35,29,17,1,5,2,
非流动资产处置损失(万元),--,--,--,--,--,--,2,2,0,13,1,1,0,2,7,5,0,7,7,3,2,1,2,1,--,2,1,1,--,0,--,--,--,14,3,15,--,1,0,0,0,3,--,0,15,0,5,0,
利润总额(万元),-9246,12843,-9672,-11331,-10619,20314,-11498,-15360,-12934,19607,1101,-4019,-5389,18236,510,-263,-3644,14248,1463,-417,-2450,4240,-325,-1167,-3202,1269,-525,-1218,-3066,10790,3141,1136,-1697,7768,1578,-54,-2096,4731,-48,-2854,-2802,4130,1163,763,4243,-2,2557,2192,
所得税费用(万元),-1330,394,-2308,-1775,-1856,2588,-1939,-2629,-2316,2311,121,-402,-979,1980,-112,105,-429,1740,32,-121,-415,684,36,-102,-429,299,-190,-363,-509,1815,517,286,-408,744,26,-205,-413,526,-340,-726,-505,149,-341,-279,451,20,335,168,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
净利润(万元),-7916,12448,-7365,-9557,-8762,17725,-9560,-12731,-10618,17295,981,-3618,-4410,16256,622,-368,-3215,12508,1431,-296,-2035,3555,-361,-1066,-2773,970,-335,-855,-2556,8975,2625,850,-1289,7024,1552,151,-1683,4205,292,-2127,-2297,3980,1504,1042,3792,-22,2222,2024,
归属于母公司所有者的净利润(万元),-7921,12020,-7346,-9324,-8568,16905,-9620,-12443,-10195,15575,506,-3808,-4289,14877,478,-664,-3093,11944,1146,-90,-1781,3886,538,-348,-2258,1787,414,-216,-2034,8650,2361,596,-1361,6511,1167,46,-1530,3565,169,-2073,-2094,3438,1195,794,3375,33,2006,1892,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),5,428,-19,-233,-194,820,61,-288,-423,1720,475,190,-121,1378,144,296,-122,564,285,-206,-253,-331,-899,-718,-515,-817,-749,-640,-523,325,264,254,72,514,385,104,-153,640,123,-54,-203,542,309,247,417,-55,216,132,
基本每股收益,-0.09,0.14,-0.09,-0.11,-0.1,0.21,-0.12,-0.16,-0.24,0.36,0.01,-0.09,-0.1,0.34,0.01,-0.02,-0.07,0.55,0.07,-0.01,-0.1,0.23,0.03,-0.02,-0.13,0.1,0.02,-0.01,-0.12,0.5,0.14,0.03,-0.1,0.49,0.09,0,-0.19,0.44,0.02,-0.26,-0.31,0.62,0.23,0.16,0.67,0.01,0.4,0.38,
稀释每股收益,-0.09,0.14,-0.09,-0.11,-0.1,0.21,-0.12,-0.16,-0.24,0.36,0.01,-0.09,-0.1,0.34,0.01,-0.02,-0.07,0.55,0.07,-0.01,-0.1,0.23,0.03,-0.02,-0.13,0.1,0.02,-0.01,-0.12,0.5,0.14,0.03,-0.1,0.49,0.09,0,-0.19,0.44,0.02,-0.26,-0.31,0.62,0.23,0.16,0.67,0.01,0.4,0.38,
