报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),28105,18663,8836,37073,26526,17840,8735,37068,25984,17648,8213,28878,14098,27977,25153,23714,
营业收入(万元),28105,18663,8836,37073,26526,17840,8735,37068,25984,17648,8213,28878,14098,27977,25153,23714,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),24772,16325,7805,33121,23901,15835,7697,32586,23651,15918,--,25674,11867,23406,20765,19673,
营业成本(万元),19224,12619,6041,25954,18567,12321,5933,24809,18283,12805,--,18405,9261,18333,16338,15473,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),175,79,45,344,260,235,166,758,476,270,--,215,135,301,272,129,
销售费用(万元),1068,679,270,1103,869,596,261,1630,1035,676,--,1136,563,1120,1101,918,
管理费用(万元),3583,2410,1174,4365,3104,1941,968,3844,2828,1816,--,5302,1531,3103,2577,2664,
财务费用(万元),772,500,217,976,816,560,268,1576,1003,325,--,614,202,365,514,426,
资产减值损失(万元),-50,38,58,378,285,183,102,-31,25,26,--,1,175,182,-38,64,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,23,23,23,--,9,9,9,--,--,--,68,4,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),3333,2338,1031,3976,2648,2028,1038,4491,2342,1739,744,3204,2231,4639,4392,4040,
营业外收入(万元),719,409,--,96,9,--,0,421,59,23,--,229,44,350,204,39,
营业外支出(万元),90,51,1,4,2,2,1,20,4,3,--,7,2,17,5,6,
非流动资产处置损失(万元),75,37,--,2,0,0,--,15,--,--,--,3,--,13,--,--,
利润总额(万元),3961,2696,1030,4068,2655,2026,1037,4893,2397,1759,743,3427,2273,4972,4591,4073,
所得税费用(万元),641,449,119,501,342,252,156,668,189,160,--,211,295,692,624,598,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),3320,2247,911,3567,2313,1773,880,4225,2208,1598,574,3215,1978,4279,3967,3475,
归属于母公司所有者的净利润(万元),3320,2247,911,3567,2313,1773,880,4225,2208,1598,574,3215,1978,4279,3967,3475,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.2,0.13,0.11,0.49,0.34,0.28,0.14,0.66,0.35,0.25,--,0.51,0.31,0.67,0.62,0.59,
稀释每股收益,0.2,0.13,0.11,0.49,0.34,0.28,0.14,0.66,0.35,0.25,--,0.51,0.31,0.67,0.62,0.59,
