报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-03-31,2008-12-31,2007-12-31,
营业总收入(万元),70442,313684,199963,131614,67995,259182,174757,122865,60889,221421,152645,102325,42560,189909,124041,81355,38050,157467,101140,68962,34952,140533,89560,63482,33725,136758,83240,55876,29359,113843,70142,45203,22605,86376,49054,32019,15299,73452,40848,14293,60736,44620,
营业收入(万元),70442,313684,199963,131614,67995,259182,174757,122865,60889,221421,152645,102325,42560,189909,124041,81355,38050,157467,101140,68962,34952,140533,89560,63482,33725,136758,83240,55876,29359,113843,70142,45203,22605,86376,49054,32019,15299,73452,40848,14293,60736,44620,
利息收入(万元),--,606,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业总成本(万元),52396,249784,154484,99336,50312,199563,134412,93974,44849,164734,115377,77153,29420,143395,97182,61036,26885,121209,80815,53222,26183,109000,70719,49298,25901,111385,66480,42618,22041,90166,55449,35012,16623,68052,40107,27157,13214,60413,35067,13418,50819,35961,
营业成本(万元),27480,126265,75258,48454,28242,95197,62678,46740,22786,78895,56198,40515,15791,72056,47635,33090,15387,61620,39665,28435,15128,55913,35119,25665,13817,62221,34249,23530,12743,50834,31893,20990,10524,41208,23230,14877,7800,39786,23628,8652,32377,22918,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
研发费用(万元),88,3085,2713,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业税金及附加(万元),1439,5188,3639,2266,1462,4430,2841,2077,903,3180,1931,1265,521,2619,1626,1005,471,2246,1262,730,382,1749,979,648,348,1229,815,544,311,1167,754,496,240,705,349,184,69,724,335,103,587,441,
销售费用(万元),16995,93313,58335,37280,13669,78234,53168,35817,16126,61380,41069,24208,7662,45690,32250,18188,6256,39251,25351,15976,6233,36253,23284,14703,6733,35446,20754,14133,5102,26223,15337,9263,3268,19205,12025,8780,4142,14421,7832,3278,12343,9126,
管理费用(万元),3775,14788,11172,8397,4681,17730,13399,7585,3525,17271,13160,8917,3725,16536,12027,6375,3149,13300,10297,4793,2344,10178,7037,4676,2413,9325,6348,4007,1758,7189,4603,2928,1109,5159,3051,2150,834,4070,2471,722,3919,2483,
财务费用(万元),881,1540,983,543,201,540,375,278,128,1661,631,319,229,1565,1945,1081,253,3548,2856,2302,1346,4133,3081,2151,1182,2693,1753,404,2086,4312,2864,1338,1634,1586,1220,935,150,1335,719,327,1536,895,
资产减值损失(万元),1739,5606,2384,2396,2057,3432,1952,1478,1382,2347,2387,1929,1491,4928,1699,1297,1369,1244,1384,986,749,773,1219,1456,1409,470,2562,0,41,442,-2,-2,-6,188,231,231,219,78,82,336,58,98,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
投资收益(万元),--,1714,212,--,--,212,--,--,--,303,--,--,--,549,247,120,64,895,774,273,176,457,--,--,--,--,--,0,--,155,147,147,--,--,--,--,0,42,42,0,24,-20,
对联营企业和合营企业的投资收益(万元),--,1502,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业利润(万元),18179,66425,45924,32432,17754,62642,40638,29046,16040,56990,37268,25172,13140,47063,27106,20439,11229,37153,21099,16012,8945,31990,18841,14184,7825,25374,16760,13258,7318,23832,14840,10338,5982,18323,8947,4863,2085,13081,5823,875,9941,8640,
营业外收入(万元),56,348,48,41,3,803,1952,960,532,1191,940,686,171,2266,1384,1284,57,649,358,263,124,762,231,106,8,1088,270,139,69,540,444,199,54,655,558,536,17,87,75,1,27,218,
营业外支出(万元),46,191,189,112,56,224,102,20,14,187,94,22,5,139,66,24,-10,91,124,114,13,136,95,93,69,124,87,47,34,175,224,173,45,23,97,55,23,23,17,-3,284,109,
非流动资产处置损失(万元),--,--,--,--,--,--,--,11,--,35,--,1,--,32,--,--,--,21,1,1,--,39,--,--,--,19,--,--,--,10,--,--,--,14,1,5,0,1,--,0,83,0,
利润总额(万元),18189,66582,45782,32361,17702,63220,42488,29985,16558,57994,38114,25836,13305,49190,28424,21700,11297,37711,21333,16162,9057,32616,18977,14197,7764,26338,16942,13351,7353,24197,15060,10364,5991,18956,9408,5343,2078,13145,5881,879,9684,8749,
所得税费用(万元),2239,9406,6814,5299,2519,10017,6987,5692,2669,9368,6390,3984,1831,7575,4880,3493,1747,6205,3514,2680,1338,5317,3095,2131,930,3452,2505,1991,1326,3199,2207,1432,953,3136,1318,864,299,1978,882,145,1654,1549,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
净利润(万元),15950,57177,38968,27062,15183,53203,35501,24294,13889,48626,31724,21852,11475,41615,23543,18207,9550,31505,17819,13482,7719,27299,15882,12065,6834,22886,14437,11360,6027,20998,12853,8931,5039,15820,8090,4479,1780,11167,4999,733,8030,7200,
归属于母公司所有者的净利润(万元),15685,56324,38275,26290,14892,52614,34711,23871,13811,48233,31431,21588,11339,41137,23179,17971,9473,31048,17479,13259,7637,26960,15549,11841,6745,22175,13835,10990,5806,20838,12593,8931,5039,15820,8090,4479,1780,11167,4999,733,8030,7191,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
少数股东损益(万元),265,853,694,772,291,589,790,422,78,393,292,264,135,477,364,236,76,458,340,223,82,339,332,224,89,711,602,369,221,160,260,--,--,--,--,--,0,0,--,0,0,9,
基本每股收益,0.11,0.4,0.28,0.19,0.11,0.37,0.25,0.17,0.1,0.34,0.22,0.15,0.08,0.29,0.16,0.38,0.2,0.66,0.38,0.28,0.16,0.57,0.33,0.25,0.14,0.47,0.29,0.23,0.12,0.44,0.27,0.38,0.21,0.77,0.64,0.39,0.16,1.02,0.45,0.07,0.73,0.65,
稀释每股收益,0.11,0.4,0.28,0.19,0.11,0.37,0.24,0.17,0.1,0.34,0.22,0.15,0.08,0.29,0.16,0.38,0.2,0.66,0.37,0.28,0.16,0.57,0.33,0.25,0.14,0.47,0.29,0.23,0.12,0.44,0.27,0.38,0.21,0.77,0.64,0.39,0,1.02,0.45,0,0.73,0.65,
