报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),32488,13295,47776,33993,20247,7499,32850,22599,13959,4261,25744,20655,13484,4266,26983,20247,13400,4175,24377,17476,20936,26555,21866,9648,
营业收入(万元),32488,13295,47776,33993,20247,7499,32850,22599,13959,4261,25744,20655,13484,4266,26983,20247,13400,4175,24377,17476,20936,26555,21866,9648,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),27802,11592,40185,29068,17153,6811,28451,19851,12139,4229,23069,18190,11834,4119,24142,17873,11641,4042,21525,15852,18807,22104,17940,8032,
营业成本(万元),20119,8074,27421,19394,11572,4312,19879,13696,8187,2625,15567,12426,8111,2552,16463,12335,8058,2651,14937,10935,12660,15558,12589,5693,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),300,134,493,367,217,90,318,161,105,39,267,209,127,48,239,183,131,33,187,119,223,215,69,28,
销售费用(万元),3301,1428,6191,4534,2708,1047,3595,2628,1563,624,3295,2567,1644,637,3591,2565,1668,654,2888,2201,2487,3235,2669,974,
管理费用(万元),3231,1559,4955,3881,2468,1214,4342,3153,2046,917,4024,2992,1935,932,3590,2565,1603,700,3164,2362,3071,2709,2364,1153,
财务费用(万元),-133,258,202,129,13,-14,-466,-298,-114,-16,-391,-314,-181,-87,-105,-41,-18,-2,164,121,210,254,109,123,
资产减值损失(万元),985,139,923,764,175,162,782,511,352,40,307,309,198,38,364,267,200,6,185,114,157,134,139,61,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),1,--,--,--,--,--,--,--,--,--,25,25,21,8,--,--,--,--,385,386,--,--,0,0,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),6117,2359,9303,5762,3532,688,4399,2748,1820,32,2700,2490,1670,155,2841,2374,1759,133,3236,2010,2129,4451,3927,1616,
营业外收入(万元),2,--,6,412,82,259,1718,906,565,122,1016,605,534,317,886,444,344,228,800,405,1169,392,100,51,
营业外支出(万元),2,0,156,151,1,--,108,106,1,0,26,11,0,0,14,11,11,11,5,0,3,61,79,1,
非流动资产处置损失(万元),--,--,--,1,1,--,8,6,1,0,26,--,0,0,0,--,0,--,5,--,1,1,--,--,
利润总额(万元),6116,2359,9153,6023,3613,947,6009,3548,2385,155,3690,3085,2204,472,3713,2807,2092,350,4031,2416,3294,4782,3949,1666,
所得税费用(万元),930,352,1076,908,542,144,792,553,375,36,513,486,343,85,527,458,342,68,554,386,470,705,422,152,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),5186,2007,8078,5115,3071,803,5217,2994,2009,119,3176,2599,1861,387,3186,2348,1750,282,3477,2030,2824,4077,3527,1514,
归属于母公司所有者的净利润(万元),5183,2003,8034,5113,3068,803,5211,3003,2018,124,3204,2620,1876,392,3209,2371,1767,291,3514,2053,2824,4077,3527,1514,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
少数股东损益(万元),3,5,44,2,2,-0,6,-9,-8,-5,-28,-22,-15,-5,-23,-23,-17,-9,-36,-23,--,--,0,0,
基本每股收益,0.22,0.08,0.33,0.21,0.13,0.07,0.43,0.25,0.17,0.01,0.27,0.22,0.16,0.05,0.49,0.4,0.29,0.05,0.59,0.34,0.47,0.68,0.59,0.25,
稀释每股收益,0.22,0.08,0.33,0.21,0.13,0.07,0.43,0.25,0.17,0.01,0.27,0.22,0.16,0.05,0.49,0.4,0.29,0.05,0.59,0.34,0.47,0.68,0.59,0.25,
