报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),257877,191393,80522,324483,234058,153502,77846,139577,95396,63704,28264,177035,143738,110606,54805,264829,211613,141526,67494,272971,214213,148271,72971,259796,187464,126448,57182,287067,224670,163515,269606,136913,123105,
营业收入(万元),257877,191393,80522,324483,234058,153502,77846,139577,95396,63704,28264,177035,143738,110606,54805,264829,211613,141526,67494,272971,214213,148271,72971,259796,187464,126448,57182,287067,224670,163515,269606,136913,123105,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,
营业总成本(万元),237793,173325,70491,288466,204037,131786,70128,135154,91972,60845,28497,168862,135424,102860,51397,266810,211791,141957,69556,270582,212338,146705,71788,254877,183859,123728,56286,281300,220778,159108,262599,134335,119484,
营业成本(万元),212927,157335,64223,263666,186356,122126,66642,123520,84229,55849,25700,154999,124951,95926,48816,246944,196544,131767,64399,253907,199953,138545,67169,242963,175557,118029,53439,267735,210027,151984,252705,127497,114052,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,
