报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),122378,70399,46863,17663,121672,62375,44075,13149,111910,60909,39736,14861,107707,49355,33573,10060,92601,46698,30728,8029,79139,40723,26153,8955,90506,48335,30054,13733,94564,49752,28790,11462,82897,48282,28715,13562,7232,5612,3776,1290,7150,5923,4212,1827,25355,23595,19638,10571,34184,24987,14089,4043,
营业收入(万元),122378,70399,46863,17663,121672,62375,44075,13149,111910,60909,39736,14861,107707,49355,33573,10060,92601,46698,30728,8029,79139,40723,26153,8955,90506,48335,30054,13733,94564,49752,28790,11462,82897,48282,28715,13562,7232,5612,3776,1290,7150,5923,4212,1827,25355,23595,19638,10571,34184,24987,14089,4043,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),114732,69967,44740,19614,113021,60681,41095,14832,101155,53604,36104,14976,98287,48490,32635,12302,88039,45589,29486,9813,76636,43183,28547,12713,87297,45384,27051,12055,81401,44185,25718,11232,72049,42750,25053,11873,10466,7270,4849,1640,9216,6651,4658,2097,29528,27740,22989,12429,36927,30048,17972,6039,
营业成本(万元),68531,39584,25907,11343,68363,34203,25431,7541,63273,31933,22901,8983,63435,28284,19707,6437,55497,27252,17983,4342,46950,25834,16828,6195,57869,26850,14515,5454,55823,29035,15465,6200,49485,30741,17141,7241,6493,4917,3053,1303,6969,5631,3964,1692,24023,22402,18794,10340,34240,25151,14657,4361,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,--,
