报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),18735,10753,8099,75789,64000,27340,10500,105353,70803,56088,12125,95738,54784,40607,15294,23030,13098,10714,3939,36238,21150,13909,1505,18817,7091,4525,1742,18406,7995,3138,1190,15187,7638,5149,2149,14685,9983,6800,2422,12022,7343,4524,1818,12979,5467,4121,1399,10504,7090,5129,1142,
营业收入(万元),18735,10753,8099,75789,64000,27340,10500,105353,70803,56088,12125,95738,54784,40607,15294,23030,13098,10714,3939,36238,21150,13909,1505,18817,7091,4525,1742,18406,7995,3138,1190,15187,7638,5149,2149,14685,9983,6800,2422,12022,7343,4524,1818,12979,5467,4121,1399,10504,7090,5129,1142,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),39005,20592,12794,188583,63444,32636,13583,112846,68268,53573,15769,93941,53627,39517,15131,27936,14163,11076,4309,35057,20976,13837,2288,18520,8059,5039,2128,17637,7668,3719,1626,14652,7625,5223,2169,15130,9609,6573,2562,13059,7896,4252,1625,13149,5233,3867,1539,13896,7463,4787,1451,
营业成本(万元),17245,10166,7357,71948,45011,20255,8148,76327,50809,40418,8870,75716,46311,34733,12900,18932,10216,8632,3237,25129,14273,9352,766,12366,4476,2732,962,11844,4948,1929,662,9788,4721,3287,1260,9837,6198,4169,1565,7349,4208,2452,857,8258,2983,2200,731,5683,4477,2712,734,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,0,
