报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),11560,41448,28597,21260,9544,35524,24744,17421,6100,31380,23052,17282,5906,36147,18744,13826,4999,27608,17699,11340,3613,26308,17583,11270,3329,26297,19259,12207,20155,12494,10228,
营业收入(万元),11560,41448,28597,21260,9544,35524,24744,17421,6100,31380,23052,17282,5906,36147,18744,13826,4999,27608,17699,11340,3613,26308,17583,11270,3329,26297,19259,12207,20155,12494,10228,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),10863,38094,25131,18143,8906,32670,21759,14799,5591,28219,19919,14475,5466,29773,14969,11238,4596,22520,14209,9058,3260,21149,14185,7141,3037,20780,15235,9610,16189,10550,8969,
营业成本(万元),8487,28264,18957,13893,6560,23571,16063,11087,4002,20453,14848,11008,3839,22706,11404,8631,3244,17474,11231,7044,2266,17072,11121,7141,2099,16869,12392,7825,13100,8353,7222,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),146,548,162,109,44,508,118,79,59,225,180,148,76,203,116,93,43,215,84,57,25,266,153,108,50,140,102,65,70,54,49,
销售费用(万元),546,2267,1474,941,548,2210,1401,832,406,2058,1342,949,571,1508,920,687,401,1410,982,650,441,1351,963,729,375,926,793,563,1055,543,514,
管理费用(万元),1373,5449,3539,2350,1405,4988,3383,2110,936,4183,2826,1886,794,4376,2199,1502,756,2937,1943,1239,550,2210,2026,1449,558,2033,1290,772,1726,1197,944,
财务费用(万元),78,918,791,575,243,875,670,475,182,934,676,435,186,898,267,262,152,151,-100,1,-22,-44,-187,-123,-44,773,565,292,134,372,151,
资产减值损失(万元),234,648,208,275,106,518,124,216,5,365,49,49,--,82,63,63,--,333,69,69,--,294,110,110,--,40,94,94,104,31,89,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),244,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1077,4019,3904,3393,638,2854,2985,2623,509,3162,3133,2808,440,6374,3775,2588,403,5089,3490,2282,353,5159,3398,1857,292,5517,4024,2596,3968,1944,1259,
营业外收入(万元),--,16,11,5,13,825,435,341,115,511,255,117,92,689,296,207,95,1522,983,203,132,1019,1256,689,89,458,644,137,821,224,287,
营业外支出(万元),12,105,127,10,7,33,2,1,1,81,31,1,1,23,3,3,1,23,23,9,9,6,6,4,0,7,7,7,4,5,2,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,2,--,2,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,
利润总额(万元),1065,3930,3788,3388,644,3647,3417,2963,623,3591,3356,2923,531,7040,4068,2793,498,6588,4450,2476,476,6172,4648,2542,381,5967,4660,2726,4785,2162,1544,
所得税费用(万元),122,396,610,496,112,462,517,420,121,610,536,436,87,1011,407,276,84,968,397,278,138,888,622,368,150,856,777,623,713,330,241,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),943,3534,3178,2892,532,3184,2900,2543,502,2981,2820,2487,445,6029,3661,2516,413,5621,4053,2198,338,5284,4026,2174,231,5111,3883,2103,4071,1832,1302,
归属于母公司所有者的净利润(万元),943,3640,3283,2997,624,3267,2925,2524,529,2930,2809,2478,457,6016,3668,2517,426,5508,4041,2198,338,5284,4026,2174,231,5111,3883,2103,4071,1832,1302,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,725,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,-105,-105,-105,-92,-82,-25,19,-26,50,11,10,-12,13,-7,-0,-13,112,13,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.03,0.14,0.13,0.12,0.03,0.13,0.12,0.1,0.02,0.12,0.12,0.1,0.04,0.5,0.3,0.21,0.03,0.46,0.34,0.18,0.06,0.88,0.67,0.36,0.04,1.14,0.86,0.47,0.99,0.61,0.43,
稀释每股收益,0.03,0.14,0.13,0.12,0.03,0.13,0.12,0.1,0.02,0.12,0.12,0.1,0.04,0.5,0.3,0.21,0.03,0.46,0.34,0.18,0.06,0.88,0.67,0.36,0.04,1.14,0.86,0.47,0.99,0.61,0.43,
