报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
营业总收入(万元),80627,312980,211231,130836,67682,288751,213872,145568,66680,248922,185079,119655,54847,220040,166953,108845,47325,202386,148994,210330,169650,
营业收入(万元),80627,312980,211231,130836,67682,288751,213872,145568,66680,248922,185079,119655,54847,220040,166953,108845,47325,202386,148994,210330,169650,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),52389,201523,138493,87432,43812,182336,135756,93501,42977,155082,113587,76388,36690,145734,108605,71765,32386,136210,--,145739,120822,
营业成本(万元),38474,160872,111276,70281,35853,150405,111796,77061,34583,125093,93881,62678,29284,115543,87896,57413,25044,109556,--,117191,96320,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),661,3322,2228,1590,801,3254,2142,1546,978,3114,2375,1742,977,2778,2028,1531,993,2296,--,1953,1487,
销售费用(万元),1443,4872,3399,2260,1076,4798,3158,2104,1015,4452,2999,1901,968,4571,3482,2323,1146,3890,--,3925,3913,
管理费用(万元),10295,29417,19765,12597,5867,24740,18291,12053,5729,22760,14643,9621,5013,20409,12963,8201,4249,16135,--,19548,16589,
财务费用(万元),629,1797,1729,1172,603,-556,-239,-240,189,-2333,-1945,-934,-330,-33,-200,-198,-45,1963,--,2127,2103,
资产减值损失(万元),886,1243,96,-468,-390,-306,608,976,483,1996,1634,1380,778,2467,2436,2495,1001,2370,--,996,410,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,93,8,12,--,--,--,--,--,--,--,--,
投资收益(万元),477,8754,5988,4853,2211,10571,8637,4435,2115,4838,2215,1664,645,451,256,140,34,25,--,--,3,
对联营企业和合营企业的投资收益(万元),--,144,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),29894,125805,78726,48257,26081,116985,86754,56502,25817,98679,73801,44939,18814,74757,58604,37220,14972,66202,47415,64591,48831,
营业外收入(万元),112,991,3941,2524,1649,6519,4072,2860,716,4822,2126,1135,749,1785,1269,908,362,1493,--,699,798,
营业外支出(万元),22,148,142,99,76,148,181,36,36,688,646,560,45,179,172,81,35,600,--,305,297,
非流动资产处置损失(万元),--,--,15,3,3,12,--,--,--,267,267,267,--,2,--,--,--,24,--,--,40,
利润总额(万元),29984,126648,82524,50682,27654,123356,90645,59325,26497,102813,75281,45513,19518,76363,59701,38047,15298,67094,48432,64985,49332,
所得税费用(万元),4713,18064,12365,7662,4397,17372,13681,8943,3989,15236,11406,6929,3006,11360,9232,9422,3609,10311,--,9499,7566,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),25271,108583,70159,43021,23257,105983,76964,50382,22508,87576,63875,38584,16512,65003,50469,28626,11689,56782,40975,55486,41766,
归属于母公司所有者的净利润(万元),25163,108344,69943,42989,23232,105919,76917,50356,22487,87364,63724,38495,16459,64827,50360,28558,11677,56629,40860,55189,41369,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,406,659,
少数股东损益(万元),108,239,216,32,25,65,47,25,20,212,151,89,54,176,109,68,12,153,--,297,396,
基本每股收益,0.15,0.63,0.41,0.25,0.14,0.62,0.45,0.29,0.13,1.02,0.74,0.45,0.38,1.68,0.62,0.75,0.31,1.48,--,1.44,1.08,
稀释每股收益,0.14,0.63,0.41,0.25,0.13,0.61,0.45,0.29,0.13,1.02,0.74,0.45,0.38,1.68,0.62,0.75,0.31,1.48,--,1.44,1.08,
