报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),53248,35610,59146,38084,18226,40479,37547,42865,
营业收入(万元),53248,35610,59146,38084,18226,40479,37547,42865,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),38663,27355,42970,30443,15735,34585,33282,33040,
营业成本(万元),27751,19279,32663,21136,10870,24223,22409,22404,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),523,379,636,423,194,710,656,1578,
销售费用(万元),1159,767,1743,849,545,1404,1179,1253,
管理费用(万元),6413,4215,7942,6733,2816,6022,6795,6664,
财务费用(万元),431,288,225,169,115,255,417,438,
资产减值损失(万元),2385,2427,-240,1133,1194,1972,1826,703,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,
投资收益(万元),-113,-70,53,40,-8,58,61,-349,
对联营企业和合营企业的投资收益(万元),-113,-70,53,40,-8,12,6,-153,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),14512,8187,16229,7681,2483,5952,4327,9476,
营业外收入(万元),3,1,28,24,23,44,243,4317,
营业外支出(万元),6,6,48,23,56,4,51,96,
非流动资产处置损失(万元),6,6,47,23,23,3,0,94,
利润总额(万元),14510,8182,16209,7682,2450,5992,4518,13697,
所得税费用(万元),2418,1379,3238,1380,389,997,798,2265,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),12092,6803,12972,6302,2061,4995,3720,11432,
归属于母公司所有者的净利润(万元),12092,6803,12972,6302,2061,4995,3720,11432,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,
基本每股收益,2.24,1.26,2.4,1.17,0.38,1.06,0.83,2.54,
稀释每股收益,2.24,1.26,2.4,1.17,0.38,1.06,0.83,2.54,
