报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),2701,19493,9963,4736,1287,12006,7028,1779,925,14651,10030,5032,1677,16104,9950,5861,1991,18468,12700,7833,2829,24468,18446,9980,3008,36539,24559,13167,41253,30767,35813,
营业收入(万元),2701,19493,9963,4736,1287,12006,7028,1779,925,14651,10030,5032,1677,16104,9950,5861,1991,18468,12700,7833,2829,24468,18446,9980,3008,36539,24559,13167,41253,30767,35813,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),4443,20668,11825,5955,2183,16507,8718,3485,1520,12876,7463,3769,1207,11714,7039,4260,1573,14338,9096,5616,2292,18807,9698,6841,2484,27371,18065,10206,32136,23697,30132,
营业成本(万元),546,9355,5109,2526,569,9064,4567,841,466,7749,4799,2231,785,8802,5239,3158,1041,9917,6350,3841,1378,13025,9698,4610,1381,18394,11889,6035,23253,15108,20544,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
