报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),450742,315631,209311,108364,432780,326552,215857,116565,455477,326272,229381,108862,550160,350703,232172,109842,408051,270360,177288,76201,391331,264148,178756,74932,355767,247401,169418,75278,410106,296559,196787,87397,397762,275062,182057,82850,325210,222239,148743,73936,308572,180892,119760,55428,246814,165702,107745,53646,184932,124291,74926,33167,
营业收入(万元),450742,315631,209311,108364,432780,326552,215857,116565,455477,326272,229381,108862,550160,350703,232172,109842,408051,270360,177288,76201,391331,264148,178756,74932,355767,247401,169418,75278,410106,296559,196787,87397,397762,275062,182057,82850,325210,222239,148743,73936,308572,180892,119760,55428,246814,165702,107745,53646,184932,124291,74926,33167,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,--,--,0,--,--,--,
营业总成本(万元),371405,234767,159089,75863,340608,244824,165197,84299,377966,264496,187359,83683,489829,282973,182017,79203,333308,201482,130905,49420,335781,194333,131512,52105,231546,145510,103086,43561,279573,193698,128147,51841,255718,169648,106737,45759,181156,118672,81313,41382,186015,88439,59628,29536,111907,72320,49369,28470,88983,58536,39340,16530,
营业成本(万元),283544,173229,117681,55061,253425,181134,124159,63651,284136,196147,139659,59994,383898,213280,137863,55668,236994,133559,86426,26912,216536,129371,87764,28964,169205,97530,69113,25906,212449,148061,99350,38145,203626,131169,80851,33554,134814,84639,57800,29538,138831,55074,36956,18684,73046,43033,29261,18307,67318,43097,29178,11428,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,0,0,--,0,0,
