报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-06-30,2005-12-31,2004-12-31,
营业总收入(万元),18322100,62165900,47199400,32038800,17079800,60509000,47257200,33285200,18794400,60519700,45739100,31104200,16236700,57047000,42904300,28709700,14735100,50860800,37739000,25140100,12558400,46074600,34127600,22700500,10968200,39709000,29615000,19603300,9633300,32348900,23479800,15330700,7527600,26718400,19737500,13086200,6545800,26750700,19878100,13518800,6491000,21945900,15878900,9931200,15021200,7026800,12726800,11257900,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
利息收入(万元),19914100,75015400,55556600,36348900,17956100,69663700,52324600,34641100,17727200,77055900,58067100,38419400,19015600,73912600,54701200,35647300,17235600,64625300,47918100,31334700,15493800,60324100,44816600,29543300,14526600,48224700,34835300,22345800,10749500,37778300,27611400,17965000,8758800,33946300,25339400,16843500,8410900,35650000,26449700,17219300,8361400,28482300,20517800,13089700,21518900,10047600,17360100,14719600,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
手续费及佣金收入(万元),4087200,13132200,10307400,7416600,4154200,12786300,9821500,7090700,4023400,12140400,9309700,6652000,3505500,11223800,8645400,6185400,3292100,10743200,8235500,5699500,2959900,9621800,7192300,5052500,2493400,8949400,7080800,4889100,2380900,6815600,5019500,3467400,1736300,4983900,3721700,2439100,1222600,4005600,3075200,2092600,1108300,3273100,2384400,1327100,1462700,678200,926100,735200,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
其他业务收入(万元),1647900,3057100,2676000,1911000,1247200,4826500,4681800,3908800,3283300,2120300,1674000,1477900,1379400,1703000,1568700,1173600,1000800,797800,622300,467100,262000,686700,477500,332100,155100,174700,80800,29700,12400,79400,43400,39200,17800,66900,37400,19700,7300,37200,23400,15000,17100,33200,18200,12100,28600,13700,64000,32700,
营业总成本(万元),9331800,32347300,22363800,14968200,8354300,31270100,22769900,16450400,10042500,30910700,21451900,14309400,7586000,27322300,18523500,11855400,6206300,23063600,14983500,9687800,4847800,21046000,13654100,8908700,4294600,17941800,11698300,7629200,3534400,14978500,9191900,6136800,2971300,12958200,8635900,5880000,3159500,14890000,9027800,5965400,2324300,11892400,7537400,4902200,8540800,3796000,7274500,6110700,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
利息支出(万元),7645900,29769800,22224200,14563500,7263800,27883800,20744400,13542100,6938600,31280700,23986300,15957500,7885600,30172800,22377500,14518100,6914900,25670900,19267100,12568700,6262700,25003900,18714200,12574100,6316500,17767500,12534300,7775200,3586500,12628300,9393300,6185100,3040800,12757800,9781400,6596700,3323900,13158000,9632700,6111300,2917800,9204800,6587800,4168400,7482100,3519100,5705000,4570800,
手续费及佣金支出(万元),294100,1352400,942500,608600,277500,935400,590100,371700,185800,787400,441100,287500,112700,372100,265300,167400,80000,314900,226700,147100,70500,271100,200200,128200,63200,250000,201600,122000,65500,202400,151400,103200,49800,178000,145400,96900,38400,161000,118000,75800,35900,141800,91800,61100,105600,50800,80600,88100,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
其他业务成本(万元),1899000,3122600,2636700,1908100,1245700,4920400,4681600,3908600,3290700,2178500,1743800,1480200,1385200,1650400,1557400,1161300,996500,708700,569500,416500,234300,562000,417700,268100,136100,111200,48800,13800,7600,33600,21400,16200,8700,25000,19400,8600,3700,11600,9700,6900,4300,16700,9100,5900,14100,3400,8700,7200,
营业税金及附加(万元),140000,576700,424800,290700,132200,1747300,1448500,1335900,892600,3630300,2717400,1823400,928900,3498300,2598300,1723100,859600,3164800,2361400,1578000,801200,3023300,2248300,1497500,730700,2422900,1775100,1153000,550400,1836400,1336500,882600,426500,1597200,1198700,803600,401900,1579300,1178400,771700,373100,1233700,897300,566500,897700,417200,740100,645900,
销售费用(万元),3468800,15911800,10605900,6718400,3360200,15282000,10269400,6544900,3189100,15738000,10578400,6880900,3271400,15982500,10425400,6658800,3194500,14869200,9489300,6087900,2958000,13456600,8676100,5669300,2759200,11829400,7791400,5069900,2497000,10179300,6570700,4255600,2039300,8790000,5788900,3785900,1854400,8216200,5657000,3796200,1791400,7882500,4774500,3132900,5707600,2522000,4999900,4521800,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
财务费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
资产减值损失(万元),3824000,12736200,8696400,6051000,3616200,9320400,6370400,4661000,2670100,9363900,6412300,4124900,2000500,6191100,3942400,2312200,1155700,4320900,2563300,1605400,854300,4004100,2312000,1473800,668600,3578300,2083000,1392500,479400,2929200,1263300,982400,496800,2546000,1628900,1281900,899500,5082900,2182700,1390600,155500,2759500,1856500,1196900,1921400,853400,1525800,935800,
公允价值变动收益(万元),111500,-3200,69900,16200,8100,-141200,-35600,-51600,-12400,334400,286600,205500,165700,-26300,18800,42000,56000,-132500,-85400,-173400,-72200,-66100,-28400,-36500,-110900,-139600,-17100,-17800,12900,165900,199600,26000,32600,92400,41000,51800,-10000,197700,57200,33500,29000,65900,44500,19800,34900,1100,21000,-17400,
投资收益(万元),214700,641100,259300,204500,198200,1911200,1391200,1087900,597200,665200,471200,366600,41600,602000,373600,260100,84400,631800,394900,350200,179200,632700,373000,262600,150000,372200,310200,186300,79600,401500,203900,117400,63300,589700,550800,429500,254100,-85000,-204100,269600,68500,220000,111200,68800,170600,98200,271800,395800,
对联营企业和合营企业的投资收益(万元),4800,16100,19500,1700,-800,6900,-5800,-7500,2000,27500,7000,6800,3200,24500,7900,5000,2200,6000,2500,300,600,2800,1600,800,1100,2400,5900,2500,1100,3400,1600,0,700,1700,1300,800,200,1600,1600,1800,400,2100,0,--,0,0,0,0,
汇兑收益(万元),286700,1445500,1496900,1313700,1057300,281700,408200,522100,300100,271600,357900,227800,127200,176800,239400,86800,61100,181000,147400,177800,68900,150400,211000,248800,133700,145100,60900,67400,50000,-61100,-53300,4000,9400,-25000,-26000,-3800,23200,264200,227400,75900,-139600,-782000,-517600,-356800,-606800,-242100,-130600,50900,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
营业利润(万元),8990300,29818600,24835600,17070600,8725500,29238900,24487300,16834800,8751900,29609000,24287200,16794800,8650700,29724700,24380800,16854300,8528800,27797200,22755500,15452300,7710600,25028600,20473500,13791800,6673600,21767200,17916700,11974100,6098900,17370400,14287900,9193900,4556300,13760200,11101600,7206200,3386300,11860700,10850300,7553400,4166700,10053500,8341500,5029000,6480400,3230800,5452300,5147200,
营业外收入(万元),75700,398300,299300,189600,71500,425700,272600,187700,77700,392500,252300,171000,79500,316000,208900,133400,62600,273700,158700,95000,37800,194100,121600,83500,17800,243600,176800,125700,31300,242500,134400,45100,20800,237100,112800,65100,20300,242100,87400,59900,22700,143200,80900,51600,138200,59700,144900,115600,
营业外支出(万元),16700,238200,81400,50900,19700,143600,72300,34700,15200,151800,81100,45100,15000,132100,66400,36100,14700,90300,54300,28400,12400,78800,44500,24100,10500,100100,51900,20900,5200,97300,38900,19600,9800,124800,54000,24400,8800,128700,66800,47800,9800,115100,43100,26400,46900,9100,60800,142900,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
利润总额(万元),9049300,29978700,25053500,17209300,8777300,29521000,24687600,16987800,8814400,29849700,24458400,16920700,8715200,29908600,24523300,16951600,8576700,27980600,22859900,15518900,7736000,25143900,20550600,13851200,6680900,21910700,18041600,12078900,6125000,17515600,14383400,9219400,4567300,13872500,11160400,7246900,3397800,11974100,10870900,7565500,4179600,10081600,8379300,5054200,6571700,3281400,5536400,5119900,
所得税费用(万元),1641700,5617200,4826200,3308400,1754200,6282100,5220600,3597500,2023300,6961100,5250800,3696300,2002300,7083900,5454800,3854600,1984500,6468400,5173200,3522500,1764700,5783700,4698700,3201800,1520000,4966800,4120900,2783600,1401700,4012500,3319300,2141500,1048400,3188900,2544200,1662800,770200,2709900,2444200,1696300,966700,3167400,2669200,1628700,1939800,959100,826800,215900,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
净利润(万元),7407600,24361500,20227300,13900900,7023100,23238900,19467000,13390300,6791100,22888600,19207600,13224400,6712900,22824700,19068500,13097000,6592200,21512200,17686700,11996400,5971300,19360200,15851900,10649400,5160900,16943900,13920700,9295300,4723300,13503100,11064100,7077900,3518900,10683600,8616200,5584100,2627600,9264200,8426700,5869200,3212900,6914200,5710100,3425500,4631900,2322300,4709600,4904000,
归属于母公司所有者的净利润(万元),7381500,24226400,20124200,13833900,7001200,23146000,19383500,13341000,6795200,22814500,19155700,13189500,6700500,22783000,19029800,13066200,6578000,21465700,17648200,11971100,5958000,19317900,15819100,10628300,5151200,16925800,13901200,9282500,4718500,13484400,11049900,7074100,3516400,10675600,8611900,5580600,2625600,9259900,8423400,5866700,3211800,6905300,5702700,3422100,4632200,2322300,4710300,4904200,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,0,0,0,0,0,0,--,0,0,0,0,
少数股东损益(万元),26100,135100,103100,67000,21900,92900,83500,49300,-4100,74100,51900,34900,12400,41700,38700,30800,14200,46500,38500,25300,13300,42300,32800,21100,9700,18100,19500,12800,4800,18700,14200,3800,2500,8000,4300,3500,2000,4300,3300,2500,1100,8900,7400,3400,-300,0,-700,-200,
基本每股收益,0.3,0.96,0.8,0.55,0.28,0.92,0.78,0.53,0.27,0.91,0.77,0.53,0.27,0.91,0.76,0.52,0.26,0.86,0.71,0.48,0.24,0.77,0.63,0.43,0.21,0.68,0.56,0.37,0.19,0.56,0.47,0.3,0.15,0.46,0.37,0.24,0.11,0.4,0.36,0.25,0.14,0.3,0.25,0.15,0.21,0.1,0.24,0.26,
稀释每股收益,0.3,0.96,0.8,0.55,0.28,0.92,0.78,0.53,0.27,0.91,0.77,0.53,0.27,0.91,0.76,0.52,0.26,0.86,0.71,0.48,0.24,0.77,0.63,0.43,0.21,0.68,0.56,0.37,0.19,0.56,0.47,0.3,0.15,0.46,0.37,0.24,0.11,0.4,0.36,0.25,0.14,0.3,0.25,0.15,0.21,0.1,0.24,0.26,
