报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
营业总收入(万元),43813,193787,138618,88485,35358,182799,128314,80984,34069,141316,95452,61703,25368,117869,86456,55897,24093,124958,95890,61857,23956,98249,71220,43748,18321,82366,62332,39099,17292,69474,51996,32763,15947,54091,37404,23106,9819,40730,29354,39868,36802,
营业收入(万元),43813,193787,138618,88485,35358,182799,128314,80984,34069,141316,95452,61703,25368,117869,86456,55897,24093,124958,95890,61857,23956,98249,71220,43748,18321,82366,62332,39099,17292,69474,51996,32763,15947,54091,37404,23106,9819,40730,29354,39868,36802,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
营业总成本(万元),41926,185912,132699,83348,33052,169038,119019,74754,31627,122572,83333,53052,22134,104376,77176,50315,21968,115376,88749,57720,22245,91671,66204,40812,17022,75869,57230,36028,15818,64539,48354,30494,14807,50384,34299,21082,8779,36315,26083,36508,33293,
营业成本(万元),36180,161250,116029,73236,29707,147103,104438,65042,27948,105913,71181,45112,18691,90649,67106,44018,19194,104529,80612,52261,20187,84581,61231,37560,15774,70461,53171,33307,14773,61473,46254,29275,14436,47374,32494,19888,8275,33819,24253,34225,31565,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
研发费用(万元),1402,7711,5227,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
营业税金及附加(万元),209,1207,443,326,142,1394,570,402,179,1321,499,371,187,837,614,319,149,278,153,92,13,250,166,65,22,136,87,44,11,42,34,26,22,132,73,49,35,119,105,135,71,
销售费用(万元),1473,7132,4611,3089,1210,5790,3647,2555,1036,4925,3353,2187,973,3626,2728,1695,643,3307,2441,1580,628,2649,1871,1171,487,2192,1623,1063,468,1602,1169,702,377,1365,989,616,232,1107,771,968,869,
管理费用(万元),1626,6309,10399,6216,2528,12102,8818,5614,2124,9426,7040,4568,1983,6448,4466,2848,1300,4072,3091,2065,880,2708,2013,1373,567,1978,1513,1037,535,1179,769,408,218,1121,604,377,175,637,495,538,357,
财务费用(万元),1168,1936,1348,937,240,792,831,622,133,280,934,657,423,1811,1959,1281,688,2548,1936,1206,537,1156,670,391,172,760,485,227,32,65,31,-15,-245,124,50,63,62,521,379,695,393,
资产减值损失(万元),-132,368,-132,-456,-776,1857,715,520,206,708,326,157,-122,1007,303,153,-7,641,516,516,--,327,253,253,--,343,351,351,--,178,98,98,--,268,89,89,--,112,80,-53,39,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,
投资收益(万元),-130,-277,125,-16,-50,589,406,213,82,-115,-88,-70,-52,-343,-165,-73,-38,-89,-71,-53,-35,309,240,200,94,95,-27,-34,-4,-3,-2,--,--,--,--,--,--,0,--,0,0,
对联营企业和合营企业的投资收益(万元),--,-296,125,-16,-50,584,406,--,82,-115,-88,-70,-52,-343,-165,-73,-38,-89,-71,-53,--,-112,-96,-24,--,-37,-49,--,--,-3,-2,--,--,--,--,--,--,0,--,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
营业利润(万元),2058,8520,6776,5541,2619,14753,10335,6893,2524,18629,12031,8582,3183,13149,9115,5509,2087,9493,7070,4085,1676,6887,5255,3135,1393,6592,5075,3037,1470,4932,3639,2269,1140,3706,3106,2023,1040,4415,3271,3360,3509,
营业外收入(万元),108,306,72,66,8,200,20,16,180,1022,704,443,217,1053,605,461,192,581,450,435,149,553,408,234,169,254,227,188,12,678,33,4,4,134,83,59,36,93,58,239,45,
营业外支出(万元),--,26,85,6,5,20,140,136,4,14,4,1,--,8,--,--,--,7,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,10,0,
非流动资产处置损失(万元),--,--,--,--,--,--,--,126,3,4,3,--,--,3,--,--,--,7,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,
利润总额(万元),2166,8801,6763,5602,2622,14933,10215,6773,2699,19637,12730,9024,3400,14194,9720,5970,2279,10067,7520,4520,1825,7440,5663,3369,1562,6846,5302,3226,1482,5611,3673,2273,1144,3840,3189,2082,1076,4507,3329,3590,3554,
所得税费用(万元),288,847,531,908,520,1953,1601,1048,405,2745,1965,1355,521,2505,1517,768,331,1403,1145,684,274,1072,844,497,227,870,800,488,224,840,554,341,172,582,478,312,161,681,504,579,1177,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
净利润(万元),1878,7954,6231,4694,2103,12979,8613,5725,2294,16892,10765,7669,2879,11689,8202,5202,1948,8664,6374,3835,1551,6368,4819,2872,1335,5977,4502,2737,1258,4771,3119,1932,972,3258,2711,1770,915,3827,2825,3011,2377,
归属于母公司所有者的净利润(万元),1876,7733,6056,4521,1750,12444,8258,5531,2293,16891,10762,7668,2878,11683,8189,5194,1948,8664,6374,3835,1551,6368,4819,2872,1335,5977,4502,2737,1258,4771,3119,1932,972,3258,2711,1770,915,3827,2825,3011,2377,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-89,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
少数股东损益(万元),1,221,176,173,352,536,356,194,0,1,3,1,1,6,13,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
基本每股收益,0.02,0.09,0.07,0.05,0.02,0.14,0.1,0.06,0.03,0.2,0.12,0.09,0.07,0.3,0.21,0.14,0.05,0.27,0.2,0.12,0.05,0.2,0.15,0.09,0.04,0.37,0.28,0.17,0.08,0.3,0.19,0.12,0.12,0.42,0.36,0.24,0.14,0.64,0.47,0.5,0.57,
稀释每股收益,0.02,0.09,0.07,0.05,0.02,0.14,0.1,0.06,0.03,0.2,0.12,0.09,0.07,0.3,0.21,0.14,0.05,0.27,0.2,0.12,0.05,0.2,0.15,0.09,0.04,0.37,0.28,0.17,0.08,0.3,0.19,0.12,0.12,0.42,0.36,0.24,0.14,0,0.47,0,0,
