报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),99584,413403,288574,207154,92264,340052,242625,168463,89706,369974,270620,170123,62160,326859,225454,161763,70802,313697,243297,150371,76993,244924,186171,121149,49602,191023,144703,89650,154842,133581,132900,
营业收入(万元),99584,413403,288574,207154,92264,340052,242625,168463,89706,369974,270620,170123,62160,326859,225454,161763,70802,313697,243297,150371,76993,244924,186171,121149,49602,191023,144703,89650,154842,133581,132900,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),98974,401922,282720,198725,91221,329684,229872,159451,85223,353559,253708,159092,61271,314746,213905,153490,67930,300386,232933,144904,74025,234718,177133,114449,47030,180359,135330,83696,145991,124410,123355,
营业成本(万元),81005,318515,225267,162313,75546,271949,191278,134313,74059,304902,219756,135565,52235,265783,181857,130983,56754,255075,197331,121390,61683,195759,149597,97649,39529,148765,113761,70980,124718,107540,109400,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
