报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),173390,665541,412378,211897,71160,418848,288191,152200,62951,346316,264638,175661,70740,240755,235107,200614,114839,
营业收入(万元),173390,665541,412378,211897,71160,418848,288191,152200,62951,346316,264638,175661,70740,240755,235107,200614,114839,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),171685,649029,404327,210634,70446,405221,281214,151028,62539,334118,255633,170433,69798,229804,222566,181878,104752,
营业成本(万元),160930,604728,381132,198221,65717,386356,265336,142129,59357,317785,242793,160999,67194,217248,205993,171376,96759,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),383,1284,1173,856,127,299,5,5,5,783,629,624,527,526,922,--,1,
销售费用(万元),3231,11461,8129,3535,840,7741,5434,3055,651,5653,3411,1542,478,4676,4098,3380,2702,
管理费用(万元),6629,19369,6991,4258,2149,8128,5255,3337,1312,6835,4395,2860,1383,5126,3706,3168,1539,
财务费用(万元),1243,5678,3785,1942,1515,657,1865,1304,1062,645,856,1326,557,2533,4130,2637,2826,
资产减值损失(万元),-731,6510,3117,1822,98,2039,3318,1198,152,2416,3549,3082,-341,-305,3718,1316,924,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,140,140,131,--,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1814,17594,8816,1534,714,13627,6978,1172,412,12198,9004,5228,942,10950,12541,18735,10086,
营业外收入(万元),66,92,101,99,74,661,255,143,61,879,795,765,392,1350,791,268,191,
营业外支出(万元),56,366,214,36,33,421,251,130,65,370,274,176,71,299,341,121,161,
非流动资产处置损失(万元),--,--,6,--,--,6,--,--,--,--,--,--,--,52,68,--,--,
利润总额(万元),1824,17320,8703,1597,755,13867,6982,1185,408,12707,9525,5818,1263,12002,12990,18883,10116,
所得税费用(万元),475,2715,1702,167,182,2105,891,179,150,1914,1459,931,206,1738,1871,2725,1625,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1349,14605,7001,1429,574,11762,6091,1007,258,10793,8066,4887,1057,10264,11119,16159,8492,
归属于母公司所有者的净利润(万元),1349,14605,7001,1429,574,11762,6091,1007,258,10793,8066,4887,1057,10264,11119,16159,8492,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.04,0.49,0.23,0.05,0.02,0.39,0.2,0.03,0.01,0.72,0.54,0.33,0.07,0.68,0.74,1.08,0.57,
稀释每股收益,0.04,0.49,0.23,0.05,0.02,0.39,0.2,0.03,0.01,0.72,0.54,0.33,0.07,0.68,0.74,1.08,0.57,
