报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),54938,53831,51668,86284,52808,48857,85585,50473,73365,64145,54421,
营业收入(万元),54938,53831,51668,86284,52808,48857,85585,50473,73365,64145,54421,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),51470,44296,37315,81340,50373,42323,81451,37702,69213,60096,51311,
营业成本(万元),45346,40498,35020,70045,43410,37877,69598,35468,59064,50929,45114,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),20,17,16,106,56,12,63,26,61,170,69,
销售费用(万元),710,389,154,946,758,516,1030,270,892,909,688,
管理费用(万元),4505,2801,1512,5921,4541,2879,6445,1388,6529,4920,3319,
财务费用(万元),1866,1187,608,2236,1802,1108,2471,632,1900,1881,1513,
资产减值损失(万元),-977,-595,5,2086,-194,-70,1844,-81,768,1287,607,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),83,83,43,372,298,26,15,--,--,49,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),4411,10082,14620,5316,2733,6560,4148,12771,4152,4099,3110,
营业外收入(万元),83,83,29,1066,558,368,1061,221,924,978,554,
营业外支出(万元),13,13,10,93,60,52,22,2,29,83,16,
非流动资产处置损失(万元),--,8,8,15,--,--,2,--,0,--,--,
利润总额(万元),4481,10151,14639,6290,3231,6876,5187,12990,5047,4993,3648,
所得税费用(万元),1277,2532,3537,1328,696,2122,375,2957,467,1320,1255,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),3204,7619,11102,4962,2534,4753,4812,10033,4580,3673,2393,
归属于母公司所有者的净利润(万元),3478,7718,11274,4948,2665,5191,4958,10112,4472,3673,2393,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-274,-99,-172,14,-131,-438,-146,-79,107,--,--,
基本每股收益,0.39,0.86,1.25,0.55,0.3,0.58,0.55,1.12,0.5,--,--,
稀释每股收益,0.39,0.86,1.25,0.55,0.3,0.58,0.55,1.12,0.5,--,--,
