报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-03-31,2008-12-31,2007-12-31,
营业总收入(万元),71694,49888,32032,15872,43067,29657,19758,7841,41017,24497,18419,8108,47488,34245,25719,13831,66736,48113,34420,17372,93786,72977,49996,24788,109946,83271,61996,24916,97797,66582,40719,17948,102915,77158,48864,24114,102377,67937,21281,97010,98349,
营业收入(万元),69772,48492,31103,15428,41440,28493,19085,7841,40717,24497,18419,8108,47488,34245,25719,13831,66736,48113,34420,17372,93786,72977,49996,24788,109946,83271,61996,24916,97797,66582,40719,17948,102915,77158,48864,24114,102377,67937,21281,97010,98349,
利息收入(万元),1921,1396,929,444,1627,1164,673,--,300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,
营业总成本(万元),61738,42276,27503,13405,40009,28038,19314,8799,41848,26755,19216,8401,49190,36373,26079,15031,69388,51480,36756,19100,100142,74529,49490,24058,115955,84806,63590,24467,96086,66365,41289,17499,100269,75682,47713,23198,97843,65796,20782,93806,96157,
营业成本(万元),37834,29829,19719,10292,24453,16134,10809,4480,20329,14092,10505,4090,30929,23088,17319,10268,46165,34326,25349,13415,71916,54042,35415,17231,85852,63199,49110,17656,70836,48348,29159,11439,76713,58007,36422,17885,79786,53014,16698,78891,86283,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,
