报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),295645,191351,126472,53438,299336,168384,122083,51460,224948,137161,89620,34669,161393,105877,75376,35276,157993,77251,53301,20245,82925,41074,28789,11260,55464,30486,19615,10793,40806,20327,13138,26300,16552,14095,
营业收入(万元),295645,191351,126472,53438,299336,168384,122083,51460,224948,137161,89620,34669,161393,105877,75376,35276,157993,77251,53301,20245,82925,41074,28789,11260,55464,30486,19615,10793,40806,20327,13138,26300,16552,14095,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),261519,176210,111243,48179,271500,157031,111251,48201,205040,125569,78920,31669,142613,95347,65613,30508,141617,70396,47266,17356,73017,37815,25935,9982,46546,27563,17709,9424,34927,18721,12126,23223,15833,13484,
营业成本(万元),180934,126201,78950,34080,213947,118412,86644,37255,162426,99026,60569,22628,107251,69640,50017,23907,111456,51111,35571,12275,55222,26535,19252,7297,36301,21190,13714,7492,27478,13870,9167,17369,11790,10602,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),10759,6520,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1486,897,622,310,1361,781,348,186,1753,-938,379,761,3115,1941,1502,519,4170,2044,1414,307,1898,832,627,179,1077,597,479,270,969,402,283,665,353,162,
销售费用(万元),17636,12721,8833,4095,19631,13911,8901,4320,18395,13184,8766,4537,15239,11083,6558,2855,10713,7326,4370,1942,6577,4919,2853,1249,4368,3056,1951,924,2676,1844,1141,2119,1135,1012,
管理费用(万元),28527,17078,14730,6303,23369,16758,10526,4634,18695,11638,7545,3175,12098,8401,5360,2021,10398,7108,4308,2004,7763,4364,2631,1074,4227,2418,1540,570,3460,2253,1269,2512,2102,1463,
财务费用(万元),16965,12364,7848,3519,11543,7023,4592,1836,3221,2443,1393,575,4527,4267,2183,1323,4092,2606,1470,809,1264,990,437,168,305,154,-50,145,250,283,231,539,411,261,
资产减值损失(万元),5213,429,259,-128,1648,148,241,-30,549,215,268,-6,384,15,-7,-117,789,201,132,19,294,175,136,16,267,148,74,22,94,70,35,20,42,-16,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),48,-366,-135,234,585,-185,-90,-51,-333,-257,-165,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),48,-119,-135,228,279,-202,-100,-53,--,-257,-165,-5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),40832,16413,16054,5757,30899,11739,11026,3208,19575,11335,10535,3000,18781,10531,9763,4768,16376,6855,6035,2889,9908,3259,2853,1278,8918,2925,1906,1369,5879,1606,1012,3077,720,611,
营业外收入(万元),1468,61,3,26,97,1378,891,260,2840,1482,538,91,2108,965,854,99,1789,733,550,32,1191,513,201,234,1637,397,367,96,1984,639,533,1330,485,846,
