报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2007-06-30,
营业总收入(万元),144268,685114,435079,298045,132876,439300,340054,209901,84011,234563,159109,93346,37311,383850,285249,243348,97354,195919,135288,87309,43636,131603,88242,57712,31920,104802,77336,49020,25134,109809,76415,54393,27197,149580,91940,59815,26130,151179,101556,57344,78982,61488,48224,174438,80578,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,0,
利息收入(万元),26931,106632,-8388,60157,-621,115642,4834,54465,2565,105833,20773,54202,7651,145594,28950,75535,14027,73528,37334,30778,12206,44881,24048,15978,5991,31649,22210,17467,8700,34280,21649,15122,6481,16990,9044,7554,2906,14771,7766,4607,13363,--,3612,12370,4662,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,31896,--,103177,--,32022,--,199675,--,44598,--,75073,--,--,--,--,--,--,--,48261,--,16407,80093,56652,41730,20987,121699,71787,50530,21994,131482,88630,50407,66587,--,39362,108705,51390,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,0,
其他业务收入(万元),73008,484094,304184,202840,94671,212681,169319,91480,20475,30088,16866,3139,2465,14584,5724,1067,719,1007,340,245,46,540,300,275,38,417,278,193,68,417,225,170,26,326,182,163,46,291,199,94,307,--,170,394,203,
营业总成本(万元),109895,656527,421215,284838,121887,376300,282582,173527,62076,164678,109045,63594,28850,184148,116261,80590,33570,116668,84342,54662,26309,97761,65699,44819,22219,86258,64716,39122,18010,83680,59355,40338,22848,91364,51017,33441,17755,69893,39761,21107,41179,--,20517,43113,18578,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,0,
利息支出(万元),32369,125942,--,65108,--,109999,--,49843,--,79213,--,40618,--,110551,--,47354,--,25207,--,7282,--,8402,--,2069,--,2697,--,1548,--,3919,--,1981,--,3616,0,1724,--,3398,0,0,5024,--,0,6190,1903,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,426,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,0,
其他业务成本(万元),73609,504440,314561,212715,94118,212734,167775,91314,20340,28239,16279,2859,2335,13780,5442,875,598,313,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,139,72,--,87,62,0,60,--,1,4,357,
营业税金及附加(万元),513,1831,1269,875,389,2427,1764,1227,585,6181,5069,4704,2601,23714,18167,14807,5252,10968,7457,4762,2318,7132,4785,3080,1675,4586,3306,1936,969,4734,3194,2395,1163,7646,4626,3012,1308,7647,5165,2964,4857,--,3289,8425,4232,
销售费用(万元),36255,140695,99640,65595,27449,144777,100226,69063,32321,128907,86491,54758,23924,146270,92652,64907,27720,104932,76859,49874,23990,90052,60819,41645,20543,80861,60848,37187,17042,78946,56161,37944,21685,83747,46281,30386,16476,63965,36340,18148,36265,--,17227,32883,11660,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,0,
财务费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,0,
