报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),51628,30694,12663,52401,34082,22059,7502,41754,23267,21110,6085,25446,13409,7987,1901,14433,7796,2662,1979,6393,4836,2096,838,3328,1624,874,
营业收入(万元),51628,30694,12663,52401,34082,22059,7502,41754,23267,21110,6085,25446,13409,7987,1901,14433,7796,2662,1979,6393,4836,2096,838,3328,1624,874,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,--,--,--,
营业总成本(万元),41628,26435,11548,45157,30450,19917,7978,35594,22872,17828,7489,22120,11852,6974,2418,10498,5651,2440,1446,4015,2467,1331,536,2079,1289,495,
营业成本(万元),25568,16263,6714,24060,16843,10960,3741,17722,10998,10079,3602,11222,5949,3264,881,6047,3244,1053,820,2090,1368,638,280,948,707,274,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3,--,--,--,
营业税金及附加(万元),471,249,76,522,232,121,21,404,261,239,62,331,173,99,17,211,161,39,36,89,64,31,6,50,24,14,
销售费用(万元),4414,2828,1319,5442,3525,2266,1089,4309,2702,1552,767,2381,1291,732,298,1186,597,373,168,477,225,145,80,232,184,29,
管理费用(万元),11018,7098,3340,14061,9102,5861,3007,12216,8324,5521,2920,7382,3920,2483,1172,2886,1522,891,379,1257,730,436,172,827,349,119,
财务费用(万元),103,72,-6,285,215,208,119,627,458,308,137,314,224,114,49,120,126,85,43,13,-7,-5,-2,-1,9,-0,
资产减值损失(万元),54,-75,104,787,533,500,--,316,129,129,--,490,294,283,--,46,-0,-0,-0,88,87,86,--,23,16,59,
