报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),18813,93999,78508,42995,19740,107387,56050,31674,14571,49379,32929,19607,7503,39932,27010,18997,5516,35592,23672,17443,5153,34078,22368,16964,7001,30573,19914,14758,3934,26613,19180,18241,
营业收入(万元),18813,93999,78508,42995,19740,107387,56050,31674,14571,49379,32929,19607,7503,39932,27010,18997,5516,35592,23672,17443,5153,34078,22368,16964,7001,30573,19914,14758,3934,26613,19180,18241,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),18233,86729,68212,40100,19404,92278,48981,29468,14620,43459,30620,18238,7325,36088,25313,17695,5469,31906,21719,15482,5080,30467,20114,15113,6597,26957,17683,12578,3931,23241,16590,16072,
营业成本(万元),11048,56454,45935,25400,10937,66047,33511,20149,10335,27553,22079,13116,4930,25522,18011,12788,3460,21774,14285,10314,3111,21313,13904,10615,4654,19821,13017,9346,2401,17861,12873,13354,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
