报告日期,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),38927,59174,42587,31085,22369,
营业收入(万元),38927,59174,42587,31085,22369,
利息收入(万元),--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,
营业总成本(万元),34484,51121,36161,28385,22243,
营业成本(万元),27737,41238,29403,22738,17569,
利息支出(万元),--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,
研发费用(万元),--,--,--,--,--,
退保金(万元),--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,
分保费用(万元),--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,
营业税金及附加(万元),391,554,161,115,68,
销售费用(万元),3668,5543,3980,2995,2751,
管理费用(万元),2382,4146,3535,2299,1774,
财务费用(万元),181,-411,-530,151,519,
资产减值损失(万元),126,52,-388,87,-438,
公允价值变动收益(万元),--,--,30,-284,236,
投资收益(万元),113,168,212,114,31,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,
期货损益(万元),--,--,--,--,--,
托管收益(万元),--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,
营业利润(万元),4555,8220,6667,2530,393,
营业外收入(万元),166,409,282,477,417,
营业外支出(万元),95,154,112,61,31,
非流动资产处置损失(万元),75,79,56,16,--,
利润总额(万元),4626,8475,6837,2946,779,
所得税费用(万元),638,1153,925,419,106,
未确认投资损失(万元),--,--,--,--,--,
净利润(万元),3988,7322,5912,2527,672,
归属于母公司所有者的净利润(万元),3988,7322,5912,2527,672,
被合并方在合并前实现净利润(万元),--,--,-311,-329,--,
少数股东损益(万元),--,--,--,--,--,
基本每股收益,0.66,1.22,1.09,--,--,
稀释每股收益,0.66,1.22,1.09,--,--,
