报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-03-31,2008-12-31,2007-12-31,
营业总收入(万元),125919,548134,396191,253709,119950,304188,198920,126517,59993,298373,207143,133707,59697,270065,192755,126461,52759,190582,137185,90660,30525,130789,95022,61785,20836,71103,46191,33312,12663,54636,37448,25497,9252,57545,37371,23615,7559,42993,27096,5639,27561,16411,
营业收入(万元),125919,548134,396191,253709,119950,304188,198920,126517,59993,298373,207143,133707,59697,270065,192755,126461,52759,190582,137185,90660,30525,130789,95022,61785,20836,71103,46191,33312,12663,54636,37448,25497,9252,57545,37371,23615,7559,42993,27096,5639,27561,16411,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
营业总成本(万元),118042,544771,361111,228835,109901,273280,166012,101350,45757,221896,147256,95768,43948,193063,133758,87052,38153,142318,104070,67433,23135,111005,82222,53819,18354,51861,34371,23957,10348,40662,28068,17773,7288,39281,25850,16249,5824,27777,18360,4295,16688,9264,
营业成本(万元),33898,139514,103488,67660,32845,89514,69063,50624,24938,123375,85221,55681,23840,99184,69959,45832,19449,70589,51517,34835,11260,29893,20616,14124,6891,25855,18136,13098,5476,28064,19275,12479,4773,26923,17811,10837,3443,18732,12042,2382,9971,5636,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
研发费用(万元),1844,12293,8119,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
营业税金及附加(万元),1552,8945,6590,4277,1906,5631,3741,2418,877,5362,2605,1660,504,3850,2595,1765,701,2562,1774,1324,392,2068,1484,1002,300,952,832,427,110,432,370,288,97,224,60,25,3,195,87,9,78,52,
销售费用(万元),68722,293771,205523,124765,59615,106549,49718,19287,6142,26057,16248,10033,5204,35948,25838,17282,8024,40641,31185,21133,8084,63492,52669,34680,8566,16197,8888,6413,3185,5171,3393,2229,1251,5581,4193,3017,1407,5018,3580,1127,3815,1623,
管理费用(万元),7988,35948,24956,23232,11532,48829,30415,20744,10124,50538,35279,23063,11908,43593,29260,18453,8595,26014,17861,9194,3403,17252,8459,4845,2934,12241,8759,5565,2148,9810,5609,3162,1303,6541,3741,2254,847,3280,2441,704,2463,1835,
财务费用(万元),3924,16099,11879,8459,3906,16199,12386,7653,3467,10372,7571,5060,2447,8374,6016,3713,1447,2440,1680,878,-29,-1823,-1197,-1003,-327,-3536,-2299,-1572,-591,-2725,-515,-308,-150,55,160,232,124,384,226,73,329,164,
资产减值损失(万元),114,38202,556,441,96,6558,689,624,209,6192,332,271,46,2114,90,7,-65,73,52,69,26,123,191,172,-11,152,54,27,19,-90,-63,-78,15,-44,-115,-115,0,169,-17,0,32,-45,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
投资收益(万元),--,577,1278,1755,793,1142,632,446,344,1357,1059,446,229,665,431,260,173,851,500,344,81,355,258,230,177,510,273,88,--,-111,-126,-93,-47,-143,-107,-66,-31,-42,-33,0,--,581,
对联营企业和合营企业的投资收益(万元),--,-897,-104,-104,--,330,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-111,-126,-93,-47,-143,-107,--,-31,-42,-33,0,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
营业利润(万元),9798,17206,38618,28498,11182,34195,33976,25889,14579,77834,60945,38385,15979,77667,59429,39668,14780,49115,33616,23571,7471,20140,13058,8196,2659,19752,12093,9443,2316,13863,9254,7631,1916,18121,11414,7299,1705,15174,8702,1344,10873,7728,
营业外收入(万元),108,928,453,183,43,3671,221,121,144,9580,5669,2317,1687,6586,3153,1375,1216,6105,3647,1716,544,6943,3204,2936,0,199,5,3,1,22,19,4,--,190,140,101,100,120,119,28,142,6,
营业外支出(万元),47,240,105,52,159,745,729,645,179,1584,465,338,12,231,42,16,9,462,382,362,4,135,59,18,3,35,11,10,0,234,234,11,10,5,0,0,0,2,--,0,78,13,
非流动资产处置损失(万元),--,--,--,--,--,--,219,205,16,459,297,212,--,114,7,11,4,61,22,2,3,24,13,0,0,17,1,0,0,--,--,--,--,--,--,--,0,--,--,0,--,1,
利润总额(万元),9859,17894,38966,28629,11066,37121,33468,25364,14543,85830,66149,40364,17655,84022,62539,41027,15987,54758,36881,24925,8011,26947,16203,11114,2656,19916,12087,9436,2316,13651,9038,7624,1906,18306,11554,7400,1805,15292,8822,1371,10936,7722,
所得税费用(万元),1329,5017,7510,5973,1218,6594,5188,3840,2503,12990,9716,5732,2298,12698,10108,6961,3020,9192,6240,4263,1257,3987,2445,1668,571,3569,2258,1707,632,2000,1488,1236,327,2835,1793,1097,250,2268,1306,201,341,245,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
净利润(万元),8531,12877,31456,22656,9848,30527,28280,21524,12041,72840,56433,34632,15357,71324,52431,34066,12967,45566,30641,20662,6754,22960,13758,9446,2085,16347,9829,7729,1684,11651,7551,6388,1579,15471,9761,6302,1554,13024,7516,1170,10595,7476,
归属于母公司所有者的净利润(万元),8549,12589,31407,22594,9816,30968,28708,21916,12109,71665,55783,34179,15271,67702,49908,32369,12526,44377,29818,20267,6740,22674,13512,9282,1995,16477,9925,7785,1723,11685,7551,6388,1579,15471,9761,6302,1554,13024,7516,1170,10595,7476,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
少数股东损益(万元),-18,288,49,63,32,-441,-428,-392,-69,1175,650,453,86,3622,2524,1697,440,1189,823,396,14,287,246,164,90,-130,-96,-56,-39,-34,--,--,--,--,--,--,0,--,--,0,--,1,
基本每股收益,0.04,0.06,0.14,0.1,0.04,0.14,0.13,0.1,0.06,0.33,0.25,0.16,0.21,0.95,0.68,0.44,0.17,0.63,0.43,0.72,0.24,0.81,0.48,0.33,0.07,0.59,0.35,0.28,0.06,0.42,0.27,0.23,0.06,1.26,0.84,0.6,0.15,1.24,0.72,0.11,1.01,1.97,
稀释每股收益,0.04,0.06,0.14,0.1,0.04,0.14,0.13,0.1,0.06,0.33,0.25,0.16,0.21,0.92,0.68,0.44,0.17,0.63,0.43,0.72,0.24,0.81,0.48,0.33,0.07,0.59,0.35,0.28,0.06,0.42,0.27,0.23,0.06,1.26,0.84,0.6,0.15,1.24,0.72,0.11,1.01,1.97,
