报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),12587,54809,32868,21193,10234,46647,29271,16447,9278,35444,23772,14924,8645,28403,19892,13964,6910,24771,19690,16441,11581,10602,
营业收入(万元),12587,54809,32868,21193,10234,46647,29271,16447,9278,35444,23772,14924,8645,28403,19892,13964,6910,24771,19690,16441,11581,10602,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),11983,49592,28998,18426,8699,41199,25540,14057,8196,30296,20581,12608,7578,22957,16122,11336,5536,19641,15067,12420,9210,9441,
营业成本(万元),9806,41341,23731,14841,6878,32699,20066,10666,6588,24963,17611,10977,6727,19663,13811,9769,4734,16926,12543,10217,7309,7571,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),34,293,142,108,40,224,87,52,21,144,75,54,35,107,86,55,29,99,184,153,107,105,
销售费用(万元),565,1664,1271,857,488,1936,1386,925,479,588,384,269,149,565,387,244,122,546,522,440,382,407,
管理费用(万元),1508,6405,3984,2721,1298,6527,4233,2487,1157,4688,2607,1458,746,2511,1667,1112,591,2191,1892,1609,1400,1331,
财务费用(万元),58,-98,-58,-61,-25,-465,-374,-179,-32,-269,-324,-188,-93,-66,-42,-31,-15,-68,-55,-35,-33,-21,
资产减值损失(万元),11,-13,-71,-41,20,278,142,107,-17,184,229,37,13,177,213,187,74,-52,-20,37,45,49,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),172,574,398,293,90,287,220,182,181,376,--,--,--,--,--,--,--,--,--,--,--,9,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),779,5961,4268,3061,1625,5735,3950,2571,1262,5524,3192,2316,1067,5446,3770,2628,1374,5129,4624,4021,2371,1171,
营业外收入(万元),--,7,130,78,22,560,426,408,287,570,300,196,90,329,214,207,0,572,355,438,336,386,
营业外支出(万元),1,18,6,1,1,8,3,3,0,6,--,--,--,1,0,0,0,41,--,--,13,1,
非流动资产处置损失(万元),--,--,--,--,--,3,2,2,--,--,--,--,--,1,0,0,0,2,--,--,2,1,
利润总额(万元),778,5951,4393,3139,1647,6288,4373,2977,1549,6088,3491,2512,1157,5774,3983,2835,1374,5660,4979,4459,2694,1556,
所得税费用(万元),32,47,37,68,70,146,117,143,197,366,226,143,163,403,448,391,239,470,282,645,16,95,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),747,5904,4355,3071,1577,6142,4257,2834,1353,5722,3265,2369,993,5371,3535,2443,1135,5190,4696,3814,2679,1461,
归属于母公司所有者的净利润(万元),747,5904,4355,3071,1577,6142,4257,2834,1353,5722,3265,2369,993,5371,3535,2443,1135,5190,4696,3814,2679,1461,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.02,0.16,0.12,0.08,0.09,0.34,0.24,0.16,0.29,1.42,0.79,0.58,0.24,1.74,1.15,0.79,0.37,1.68,1.52,1.24,0.87,0.47,
稀释每股收益,0.02,0.16,0.12,0.08,0.09,0.34,0.24,0.16,0.29,1.42,0.79,0.58,0.24,1.74,1.15,0.79,0.37,1.68,1.52,1.24,0.87,0.47,
