报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),63299,43211,80776,56277,38925,95163,21597,72767,42497,35189,
营业收入(万元),63299,43211,80776,56277,38925,95163,21597,72767,42497,35189,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),50077,34221,58664,42267,29753,64430,13335,52081,33713,22523,
营业成本(万元),26640,18367,36003,25467,17361,42090,9872,29901,19357,13325,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),882,667,859,577,400,883,155,921,450,340,
销售费用(万元),7312,4462,8684,6031,4246,8962,1873,6612,4646,3111,
管理费用(万元),10036,6008,11276,8261,5270,10214,2087,9293,7247,4420,
财务费用(万元),326,333,-70,-391,-339,-201,-51,-536,17,198,
资产减值损失(万元),4880,4384,1911,2321,2815,2482,-600,5889,1997,1128,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,
投资收益(万元),511,325,184,44,5,103,22,330,--,--,
对联营企业和合营企业的投资收益(万元),61,35,58,0,0,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),19012,9315,22297,14054,9176,30836,8284,21015,8784,12667,
营业外收入(万元),1016,4574,6366,4155,3035,7418,1944,5787,4800,1666,
营业外支出(万元),2,2,30,9,9,28,0,41,2,38,
非流动资产处置损失(万元),2,2,5,4,4,5,0,9,1,1,
利润总额(万元),20025,13886,28634,18199,12202,38227,10227,26761,13583,14295,
所得税费用(万元),2114,1522,2422,1587,1041,4978,1584,2300,956,1797,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),17911,12364,26211,16612,11160,33249,8643,24462,12627,12498,
归属于母公司所有者的净利润(万元),17911,12364,26211,16612,11160,33249,8643,24462,12627,12498,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.48,0.34,0.73,0.46,0.31,0.92,0.29,0.68,--,--,
稀释每股收益,0.48,0.34,0.73,0.46,0.31,0.92,0.29,0.68,--,--,
