报告日期,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),16418,34348,29216,26443,26212,
营业收入(万元),16418,34348,29216,26443,26212,
利息收入(万元),--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,
营业总成本(万元),14786,26616,21577,19037,20412,
营业成本(万元),3176,6759,5090,6490,4154,
利息支出(万元),--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,
研发费用(万元),--,--,--,--,--,
退保金(万元),--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,
分保费用(万元),--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,
营业税金及附加(万元),356,660,616,346,390,
销售费用(万元),4053,7006,4665,3774,3913,
管理费用(万元),7067,12735,10419,8460,11796,
财务费用(万元),-138,-819,-461,-386,-340,
资产减值损失(万元),271,275,1247,353,499,
公允价值变动收益(万元),--,--,--,--,--,
投资收益(万元),5,563,28,-12,-34,
对联营企业和合营企业的投资收益(万元),5,14,28,-12,-34,
汇兑收益(万元),--,--,--,--,--,
期货损益(万元),--,--,--,--,--,
托管收益(万元),--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,
营业利润(万元),3343,8295,7668,7393,5766,
营业外收入(万元),636,3382,2430,1734,1454,
营业外支出(万元),13,5,36,4,0,
非流动资产处置损失(万元),4,2,16,1,0,
利润总额(万元),3965,11672,10062,9124,7220,
所得税费用(万元),378,1616,1238,1290,1494,
未确认投资损失(万元),--,--,--,--,--,
净利润(万元),3587,10056,8824,7834,5726,
归属于母公司所有者的净利润(万元),3587,10056,8824,7834,5726,
被合并方在合并前实现净利润(万元),--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,
基本每股收益,0.72,2.01,1.86,1.82,1.34,
稀释每股收益,0.72,2.01,1.86,1.82,1.34,
