报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2010-12-31,2009-12-31,
营业总收入(万元),45247,216400,156491,103977,46553,209502,151218,94502,43525,175579,131712,90411,42696,173469,122837,76485,35845,177307,200712,159366,124486,
营业收入(万元),45247,216400,156491,103977,46553,209502,151218,94502,43525,175579,131712,90411,42696,173469,122837,76485,35845,177307,200712,159366,124486,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),43362,209809,152301,101733,45839,185264,133464,86735,41658,174975,130888,89813,42567,169878,119102,75362,35552,176468,192920,148198,116508,
营业成本(万元),42077,202813,147327,98301,44362,176824,127025,82589,39182,167129,125145,85831,40115,160238,111800,70932,33707,167737,185082,142572,112000,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),216,882,659,430,216,974,14,13,12,12,10,8,7,9,6,3,6,20,21,14,7,
销售费用(万元),313,1745,1320,953,508,1742,1298,950,447,1690,1008,639,255,1140,825,466,228,1166,1259,1021,714,
管理费用(万元),1054,4691,3423,2354,1108,5394,4772,3007,1470,5191,3978,2689,1513,5944,4411,2875,1248,5694,6429,4111,3222,
财务费用(万元),9,-919,-598,-204,-75,-83,73,72,97,627,308,339,203,1722,1289,780,151,693,273,374,499,
资产减值损失(万元),-307,597,170,-101,-278,413,283,104,450,326,439,306,474,825,770,305,212,1157,-142,106,65,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),1239,2587,1737,1081,698,421,265,134,75,495,157,118,--,506,379,224,--,82,60,20,10,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),3117,9451,5926,3326,1412,24659,18019,7902,1942,1099,981,715,129,4096,4114,1346,292,921,7852,11188,7989,
营业外收入(万元),58,839,695,453,208,628,319,213,77,1380,591,264,187,401,340,42,6,3921,867,111,183,
营业外支出(万元),20,160,95,66,29,707,538,524,0,223,142,120,72,18,12,10,8,80,25,17,--,
非流动资产处置损失(万元),--,--,80,62,28,702,535,522,0,201,111,91,72,10,7,7,--,59,17,12,--,
利润总额(万元),3156,10130,6527,3713,1590,24580,17799,7591,2019,2255,1430,859,244,4480,4442,1378,290,4762,8694,11283,8172,
所得税费用(万元),--,-60,--,--,--,60,--,--,--,--,--,--,--,46,54,61,--,--,16,17,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),3156,10190,6527,3713,1590,24520,17799,7591,2019,2255,1430,859,244,4434,4388,1317,290,4762,8678,11266,8172,
归属于母公司所有者的净利润(万元),3082,10197,6527,3705,1576,24552,17846,7638,2033,2256,1430,859,244,4434,4388,1317,290,4762,8678,10824,7501,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),73,-6,--,8,14,-32,-47,-47,-13,-0,--,--,--,--,--,--,--,--,--,441,670,
基本每股收益,0.17,0.56,0.36,0.2,0.09,1.49,1.12,0.48,0.13,0.15,0.09,0.06,0.02,0.37,0.37,0.11,0.02,0.4,0.73,0.91,--,
稀释每股收益,0.17,0.56,0.36,0.2,0.09,1.49,1.12,0.48,0.13,0.15,0.09,0.06,0.02,0.37,0.37,0.11,0.02,0.4,0.73,0.91,--,
