报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),65752,362698,245938,141134,72059,357316,243566,164380,67477,535700,414361,331998,135154,259777,176182,107210,52300,203387,87223,143131,110153,128847,134787,86929,111842,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
利息收入(万元),-19064,157035,-6408,76148,-2854,157214,-43746,68236,-17509,197665,-15770,107038,1847,79968,55452,-361,-89,38819,15567,32973,32514,23208,15344,16553,5745,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),40629,199432,137990,87001,43663,225442,162958,110185,57306,366262,265275,179409,59607,147524,86999,52154,27180,107949,45439,82199,83156,102584,121934,74523,106117,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),-1,287,188,94,21,192,104,90,44,231,165,119,52,124,74,42,31,123,45,141,57,4,17,66,11,
营业总成本(万元),33361,210243,130754,72419,35651,193889,107450,69974,31809,282825,194367,140388,50491,133105,88824,48325,22281,124221,40681,82456,60111,69028,67401,42173,68006,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
利息支出(万元),--,176262,--,81469,--,196000,--,107244,--,229605,--,101679,--,89433,58620,--,--,51068,24549,24965,17009,6487,3002,4164,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),64,354,16,9,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18,--,--,50,--,
营业税金及附加(万元),676,4050,3329,2610,594,8565,7313,6676,4724,35038,26974,19469,7022,15661,9911,6295,3019,12745,4668,5829,4877,5690,6811,4148,6078,
销售费用(万元),32324,202775,132720,71276,34933,179122,100214,63852,28505,227680,156064,113583,40377,112241,78913,42030,19262,108469,36013,76627,55216,65117,60590,46381,51743,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
财务费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
资产减值损失(万元),297,3064,-5311,-1475,109,6203,-77,-555,-1419,20107,11330,7336,3093,5203,--,--,--,3007,--,--,--,-1779,--,-8406,10185,
公允价值变动收益(万元),2815,16156,13695,5276,-2993,-9853,-506,2378,2825,11399,3488,8934,11516,-354,5378,102,-664,-1778,-2801,3414,-683,-810,--,--,--,
投资收益(万元),41440,166299,100938,54586,34232,180249,124725,90710,24817,189702,161166,138179,62130,121945,86893,55266,25836,109366,53536,49369,12163,10378,499,1,--,
对联营企业和合营企业的投资收益(万元),--,-472,9,9,--,--,--,--,--,--,--,--,--,--,-11,--,--,1,--,--,--,--,--,--,--,
汇兑收益(万元),-68,-318,-466,-503,-9,72,30,24,-6,44,37,-1,3,3,7,7,7,-24,-13,-0,-45,-29,-4,-51,-32,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),6621,40122,24570,16279,6010,31624,21917,11034,7915,49684,20786,13078,4858,18721,9217,6527,2777,10998,3052,5647,3975,4567,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),32391,152455,115184,68715,36408,163427,136115,94406,35668,252875,219994,191609,84663,126672,87359,58885,30020,79166,46542,60675,50042,59819,67387,44756,43836,
营业外收入(万元),257,3611,1154,852,299,662,535,505,12,401,333,81,0,5496,1805,314,67,3412,1723,799,1273,788,236,1252,79,
营业外支出(万元),12,684,278,45,0,217,61,53,30,434,64,52,0,202,1,1,1,121,17,87,25,161,12,101,1,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),32636,155382,116060,69523,36708,163872,136590,94859,35650,252842,220263,191639,84663,131967,89162,59197,30086,82457,48248,61387,51291,60446,67611,45907,43914,
所得税费用(万元),4933,24416,22217,12288,5979,28585,26797,18737,7765,48448,43494,40300,16537,27907,17563,11350,6634,15608,11599,10082,7217,9413,16986,10906,27339,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),27703,130966,93844,57234,30729,135287,109793,76121,27885,204393,176769,151339,68127,104060,71600,47847,23452,66849,36649,51305,44074,51033,50624,35001,16576,
归属于母公司所有者的净利润(万元),27734,130925,92689,56459,30245,135293,109699,76042,27886,204393,176769,151339,68127,104060,71600,47847,23452,66849,36649,51305,44074,51033,50624,35001,16576,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-30,41,1154,776,484,-6,94,80,-1,0,-0,0,-0,0,0,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.1,0.48,0.34,0.21,0.11,0.53,0.44,0.3,0.11,0.84,0.74,0.65,0.31,0.52,0.36,--,0.12,0.33,0.18,0.26,0.29,--,--,--,--,
稀释每股收益,0.1,0.48,0.34,0.21,0.11,0.53,0.44,0.3,0.11,0.84,0.74,0.65,0.31,0.52,0.36,--,0.12,0.33,0.18,0.26,0.29,--,--,--,--,
