报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31,
营业总收入(万元),173967,133269,94196,50134,151526,110661,72343,35384,113160,82600,55462,28348,97521,73349,48965,26906,84372,61553,40700,19651,64210,45353,29756,13951,50573,37774,24107,11230,45649,36755,23964,10829,41446,28766,18163,8298,23860,19375,12131,21977,17998,19278,15207,
营业收入(万元),173967,133269,94196,50134,151526,110661,72343,35384,113160,82600,55462,28348,97521,73349,48965,26906,84372,61553,40700,19651,64210,45353,29756,13951,50573,37774,24107,11230,45649,36755,23964,10829,41446,28766,18163,8298,23860,19375,12131,21977,17998,19278,15207,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
营业总成本(万元),163891,123195,84971,43726,141471,102558,65623,30984,103409,75007,49120,24574,91470,67296,44228,23501,74368,53639,35010,16708,55731,38945,25252,11567,43327,31679,20063,9034,38334,29470,19394,8706,31988,21460,13595,6208,18655,14879,9390,18254,14383,16221,13139,
营业成本(万元),129885,100904,70628,37015,110223,81648,52733,25032,75150,54580,36072,18365,65500,48729,33006,17880,54202,39101,25940,12527,39392,27959,18509,8600,31528,23641,15156,6878,28058,22342,14640,6603,23148,16151,10090,4584,12857,11027,6912,12606,10222,11778,9472,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
研发费用(万元),7281,4700,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
营业税金及附加(万元),1350,927,667,296,1336,984,727,286,1075,467,311,152,524,428,297,150,614,492,278,145,317,252,165,101,356,276,177,103,295,233,148,75,227,163,84,30,167,148,108,142,125,136,107,
销售费用(万元),14562,9503,6057,2362,12583,8374,4753,2002,12629,8986,5529,2439,11275,7751,4733,2183,8522,5783,3206,1102,5875,3936,2223,820,4832,3434,2035,887,4641,3210,2052,876,3904,2343,1340,501,2787,1783,1099,2899,2005,1990,1783,
管理费用(万元),8576,5883,6651,3086,16094,10788,6876,3364,14009,10474,6940,3329,12851,8944,5316,2656,10188,7410,4951,2535,9948,6845,4312,2105,7180,4855,3080,1477,6313,4368,2860,1477,5104,3071,1969,1092,2890,1788,1152,2534,1862,1991,1745,
财务费用(万元),52,170,-2,269,98,47,-7,-26,-172,-45,-30,-22,327,373,146,68,-36,-68,-58,-43,-171,-502,-312,-196,-986,-849,-598,-303,-1196,-1007,-577,-324,-606,-475,-96,2,-57,133,8,31,24,152,91,
资产减值损失(万元),2184,1108,970,697,1138,717,541,325,718,545,298,312,993,1071,729,563,878,921,693,443,370,454,355,137,417,322,213,-7,224,325,270,--,211,207,207,--,11,0,112,42,146,174,-59,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
投资收益(万元),--,--,--,--,--,--,--,--,12,12,--,--,--,--,--,--,--,--,--,--,75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,0,0,0,-65,-3,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
汇兑收益(万元),--,339,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
营业利润(万元),13136,12657,10485,7167,13111,8103,6720,4401,9762,7605,6342,3773,6051,6053,4737,3405,10004,7915,5689,2943,8554,6409,4504,2384,7247,6095,4043,2196,7314,7285,4570,2123,9458,7305,4568,2090,5206,4497,2742,3723,3615,2992,2064,
营业外收入(万元),589,295,151,145,153,2385,1623,916,2036,1440,950,661,3752,986,635,224,2228,839,575,305,1783,707,379,229,858,617,288,99,1112,867,688,530,885,586,419,135,648,402,190,424,241,571,917,
营业外支出(万元),219,152,24,7,407,232,22,2,223,62,5,1,362,209,6,0,32,61,30,0,63,61,60,0,45,14,13,13,41,41,36,31,56,43,17,1,10,9,8,91,63,43,39,
非流动资产处置损失(万元),--,--,--,--,--,--,9,--,101,--,--,--,3,--,--,--,0,--,--,--,1,--,--,--,1,--,1,1,3,--,--,--,9,--,--,--,0,0,0,23,0,7,0,
利润总额(万元),13505,12800,10612,7305,12856,10256,8320,5315,11575,8983,7287,4434,9441,6830,5366,3629,12201,8692,6234,3247,10273,7055,4823,2613,8059,6699,4318,2282,8385,8112,5221,2621,10287,7848,4970,2223,5845,4890,2924,4056,3793,3521,2942,
所得税费用(万元),1636,1745,1439,1030,1771,1210,1054,681,1924,1281,1038,618,1091,984,589,485,1244,1040,685,310,1378,965,658,382,985,800,494,353,1187,1094,701,378,1525,1117,729,360,771,713,464,538,881,489,242,
