报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),47315,168703,117495,74319,35533,117454,84944,56577,27450,95700,65656,42706,21630,62456,41890,23092,11565,33652,24583,16633,7498,25432,18579,12205,19326,12284,6279,
营业收入(万元),47315,168703,117495,74319,35533,117454,84944,56577,27450,95700,65656,42706,21630,62456,41890,23092,11565,33652,24583,16633,7498,25432,18579,12205,19326,12284,6279,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),38044,132779,91643,57712,28693,101475,70865,46273,22317,74313,50789,32992,17330,46090,30167,16035,8233,23534,16728,11261,5005,18236,13498,8818,13908,8835,5552,
营业成本(万元),26057,96261,66830,42249,20324,72787,50250,33080,15425,53475,34832,22475,11774,32900,21692,11483,5867,18482,13515,9009,3905,13017,9551,6436,10110,6376,3867,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),137,472,332,207,79,280,172,120,61,175,148,94,51,185,126,83,43,149,118,89,49,756,585,360,493,310,253,
销售费用(万元),1330,3975,1969,1248,964,3581,1878,1252,756,3166,1448,1012,598,1921,938,620,350,740,613,410,206,642,507,356,529,467,293,
管理费用(万元),9320,28614,20645,13288,6938,22924,17444,11091,5801,16916,14160,9272,4802,11011,8052,4165,2083,5085,3404,2278,1155,4121,2919,1609,2634,1632,1186,
财务费用(万元),737,1166,1118,412,139,-39,290,163,239,-463,66,69,56,-779,-1103,-632,-300,-1217,-1047,-694,-375,-523,-223,-10,-12,3,-9,
资产减值损失(万元),464,2292,750,308,249,1941,831,567,34,1043,136,69,50,852,462,316,189,293,124,170,66,223,159,68,153,47,-36,
公允价值变动收益(万元),347,-415,--,--,--,--,--,--,--,-597,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),1920,5335,3943,1874,187,3816,-40,38,43,575,904,927,462,580,-18,-0,-10,87,27,17,11,--,--,--,88,3,94,
对联营企业和合营企业的投资收益(万元),--,-620,--,--,--,-247,--,--,--,-103,--,--,--,--,--,--,-10,--,--,--,11,--,--,--,0,0,92,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),11539,41683,29794,18482,7027,19794,14039,10342,5176,21365,15770,10642,4762,16946,11705,7056,3323,10206,7881,5389,2504,7195,5080,3386,5506,3453,821,
营业外收入(万元),63,1617,757,224,43,1552,1195,963,403,702,363,248,244,313,300,296,268,1002,139,48,46,789,531,457,300,190,63,
营业外支出(万元),13,175,125,11,3,140,18,3,1,47,123,1,--,93,81,81,0,127,22,0,0,115,105,23,112,13,63,
非流动资产处置损失(万元),--,--,--,4,--,36,--,2,--,36,--,1,--,2,--,1,--,--,--,--,--,0,--,--,0,0,63,
利润总额(万元),11589,43125,30426,18694,7067,21206,15216,11302,5578,22021,16010,10889,5006,17166,11923,7272,3591,11081,7998,5436,2550,7870,5507,3821,5695,3630,820,
所得税费用(万元),1634,9908,7217,4602,1914,5528,3948,2687,1191,4631,3633,2343,1035,3527,2879,1617,881,1606,1256,840,395,1087,868,597,885,406,60,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
