报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2011-12-31,
营业总收入(万元),17658,16158,7118,47320,23488,19906,7765,38634,20294,15763,6975,30484,25164,13970,
营业收入(万元),17658,16158,7118,47320,23488,19906,7765,38634,20294,15763,6975,30484,25164,13970,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),17439,13866,5806,33963,18987,14527,5533,26504,14814,10588,5006,19958,16325,8915,
营业成本(万元),10020,8855,3925,25317,12487,10470,3814,20214,10539,8200,3541,15591,12817,7143,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),156,117,34,596,174,152,41,360,176,160,115,200,238,141,
销售费用(万元),966,574,252,1128,653,377,198,1017,579,353,159,750,579,378,
管理费用(万元),6063,4080,1602,6625,4935,2777,1123,4490,2961,1601,735,3053,2601,1048,
财务费用(万元),-410,-311,-144,-11,116,207,116,406,296,199,85,293,129,122,
资产减值损失(万元),644,550,136,308,622,544,241,17,264,76,370,71,-38,83,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),696,451,148,294,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),2873,4261,1460,13650,4501,5378,2231,12130,5480,5175,1969,10526,8839,5055,
营业外收入(万元),13,13,1118,2551,1330,478,168,1702,1074,690,165,286,421,1,
营业外支出(万元),1,1,0,0,0,0,--,--,--,--,--,8,4,0,
非流动资产处置损失(万元),0,--,--,--,--,--,--,--,--,--,--,0,--,--,
利润总额(万元),2885,4274,2578,16202,5831,5856,2400,13833,6554,5865,2134,10804,9256,5056,
所得税费用(万元),104,387,288,2108,617,728,308,1852,833,793,285,1494,1387,770,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),2781,3886,2289,14093,5214,5128,2091,11981,5721,5072,1849,9310,7869,4286,
归属于母公司所有者的净利润(万元),2781,3886,2289,14093,5214,5128,2091,11981,5721,5072,1849,9310,7869,4286,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.23,0.32,0.19,1.31,0.5,0.54,0.23,1.33,0.64,0.56,0.21,1.03,0.87,--,
稀释每股收益,0.23,0.32,0.19,1.31,0.5,0.54,0.23,1.33,0.64,0.56,0.21,1.03,0.87,--,
