报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),65375,44962,20074,79968,54261,35624,17155,62623,45587,58076,28699,50015,38768,36821,32511,21016,
营业收入(万元),65375,44962,20074,79968,54261,35624,17155,62623,45587,58076,28699,50015,38768,36821,32511,21016,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),57541,39290,17315,70149,46625,30430,14781,55177,40323,52289,25864,44681,34474,32510,29050,19327,
营业成本(万元),51866,35576,15549,60472,40505,26245,12537,48027,35177,46432,22954,39551,30303,29109,26331,17392,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),287,207,54,430,244,156,104,269,171,241,124,174,163,187,97,51,
销售费用(万元),2057,1285,681,2982,1844,1316,893,2291,1623,1832,1034,1665,1185,1221,1118,896,
管理费用(万元),3324,2193,1062,5393,3493,2265,982,3930,2802,3003,1323,2589,2106,1453,926,712,
财务费用(万元),134,126,85,419,359,262,167,518,415,618,295,569,645,542,533,286,
资产减值损失(万元),-127,-97,-116,453,179,185,98,142,136,164,135,133,72,-1,44,-9,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,
投资收益(万元),-311,-312,-221,-876,-541,-296,-102,-495,-371,-486,-242,-174,-56,0,-1,--,
对联营企业和合营企业的投资收益(万元),-479,-388,-221,-876,-541,-296,-102,-495,-371,-486,-242,-174,-56,0,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),7932,5632,2538,8943,7095,4898,2273,6952,4892,5300,2593,5159,4238,4311,3460,1693,
营业外收入(万元),128,94,191,567,419,282,159,490,299,537,225,382,130,172,137,60,
营业外支出(万元),4,4,4,7,1,0,0,1,14,11,8,9,3,0,2,13,
非流动资产处置损失(万元),4,4,1,7,1,0,--,1,0,8,7,4,3,0,2,8,
利润总额(万元),8056,5722,2725,9503,7513,5179,2431,7441,5178,5827,2810,5532,4365,4483,3596,1740,
所得税费用(万元),1227,859,413,1350,1192,811,340,1169,816,903,467,867,676,676,544,273,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),6828,4863,2311,8153,6320,4368,2091,6271,4362,4924,2343,4665,3689,3808,3052,1467,
归属于母公司所有者的净利润(万元),6619,4696,2214,7932,6145,4232,2007,5989,4144,4718,2272,4564,3689,3808,2967,1349,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),209,167,98,221,176,136,84,282,218,206,71,102,0,0,85,118,
基本每股收益,0.53,0.37,0.26,1.26,0.98,0.67,0.32,0.95,0.66,0.75,0.36,0.72,0.65,0.67,0.64,0.35,
稀释每股收益,0.53,0.37,0.26,1.26,0.98,0.67,0.32,0.95,0.66,0.75,0.36,0.72,0.65,0.67,0.64,0.35,
