报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,
营业总收入(万元),2442660,1539367,818512,3440881,2641922,1796827,928838,3315913,2441943,1565750,2809756,2146749,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
利息收入(万元),4400088,2900104,1497426,6065193,4571427,3102394,1578611,6144611,4534999,2967919,5589050,4342536,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),492354,336374,176109,648431,488699,346187,186622,578355,421420,292385,412868,249227,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),7418,4442,1915,9580,7307,4406,2443,8237,6081,3936,6075,4765,
营业总成本(万元),1249367,734257,405757,1819561,1400990,919029,491431,1724092,1223255,750645,1402896,990896,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
利息支出(万元),2996835,1979575,974010,3465382,2566650,1714403,857949,3476419,2614806,1745022,3241622,2436675,
手续费及佣金支出(万元),30661,17409,7948,32747,38006,12562,6910,27512,17035,10130,18144,17382,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),893,856,401,2870,1566,942,420,1754,1225,821,1543,1825,
营业税金及附加(万元),25607,17542,8916,71465,69127,63605,43145,176643,131556,88101,168504,146290,
销售费用(万元),576433,371540,168504,787591,557096,363858,168081,762251,556419,361501,703992,629228,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
财务费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
资产减值损失(万元),646435,344319,227936,957634,773202,490623,279786,783444,534056,300223,528857,213553,
公允价值变动收益(万元),-361727,-375030,-203010,211908,77514,97074,-899,-35243,1100,-21476,38114,-17445,
投资收益(万元),706537,405017,189192,164850,134093,45140,-12511,143952,119620,83822,5136,15745,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),225487,265443,138838,-160952,-32460,-71410,39431,-20068,-9436,-5684,18279,5977,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1193292,805111,412755,1621321,1240932,877799,437407,1591822,1218688,815105,1406860,1155853,
营业外收入(万元),12495,8104,2930,18136,14658,9430,5403,18832,12448,8257,11973,11056,
营业外支出(万元),907,509,198,7519,2472,2007,474,5501,4567,1515,4401,8250,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),1204881,812705,415487,1631937,1253118,885222,442337,1605153,1226569,821848,1414431,1158660,
所得税费用(万元),40128,32084,27531,199431,158917,151738,78073,300839,232267,155650,274460,222666,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1164753,780621,387956,1432506,1094200,733484,364264,1304314,994301,666198,1139971,935994,
归属于母公司所有者的净利润(万元),1165757,779586,387442,1430827,1091143,731518,363627,1300237,990945,663538,1137646,934242,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-1005,1035,514,1680,3057,1966,637,4078,3357,2659,2326,1752,
基本每股收益,1.49,1,0.65,2.61,2.02,--,0.67,2.47,--,--,2.46,2.21,
稀释每股收益,1.49,1,0.65,2.61,2.02,--,0.67,2.47,--,--,2.46,2.21,
