报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),52970,34303,13073,66590,47446,31363,11725,60396,43203,28469,50238,52696,50178,42910,
营业收入(万元),52970,34303,13073,66590,47446,31363,11725,60396,43203,28469,50238,52696,50178,42910,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),51670,33480,13303,63329,45065,29915,11581,57511,41104,26700,48874,49265,46552,39438,
营业成本(万元),46444,29961,11483,57576,40903,27137,10130,52124,37177,24091,43837,44361,41845,35054,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),58,34,18,58,24,17,5,185,174,163,172,264,278,280,
销售费用(万元),2597,1704,887,3250,2285,1553,799,3076,2194,1476,3093,3103,2923,2506,
管理费用(万元),2544,1805,927,2711,2034,1283,665,2171,1561,957,1758,1641,1523,1507,
财务费用(万元),-4,-55,-12,-322,-190,-103,-19,-224,-112,-3,-6,-118,-32,72,
资产减值损失(万元),32,32,--,56,10,27,--,179,110,17,20,14,16,19,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),42,30,--,0,0,0,--,0,--,1,6,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1342,853,-230,3261,2381,1448,144,2885,2099,1770,1371,3431,3626,3472,
营业外收入(万元),173,34,15,392,272,106,113,773,611,534,246,203,325,93,
营业外支出(万元),4,11,--,15,3,3,3,1,0,0,0,26,1,5,
非流动资产处置损失(万元),--,11,--,14,--,3,--,1,--,0,0,26,1,--,
利润总额(万元),1511,876,-215,3637,2650,1551,253,3658,2709,2303,1617,3608,3950,3559,
所得税费用(万元),176,155,17,548,353,312,76,593,541,602,205,587,691,541,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1335,721,-232,3089,2297,1239,177,3065,2168,1701,1411,3020,3259,3019,
归属于母公司所有者的净利润(万元),1304,691,-246,3076,2295,1247,182,3105,2196,1720,1427,3020,3259,3019,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),30,30,14,13,2,-8,-5,-40,-28,-19,-16,--,--,--,
基本每股收益,0.12,0.06,-0.02,0.35,0.27,0.15,0.02,0.37,0.26,0.2,0.17,0.36,0.42,0.44,
稀释每股收益,0.12,0.06,-0.02,0.35,0.27,0.15,0.02,0.37,0.26,0.2,0.17,0.36,0.42,0.44,
