报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,
营业总收入(万元),8595,60206,50117,41188,19554,69496,53855,35743,19062,70612,41469,29347,15678,56059,34877,22628,12093,42570,28935,21663,9186,43362,31634,20766,9227,42838,31340,23045,12174,57138,44598,31171,17089,70237,54110,38400,18776,46585,29097,15889,7049,21874,17578,11597,15009,
营业收入(万元),8595,60206,50117,41188,19554,69496,53855,35743,19062,70612,41469,29347,15678,56059,34877,22628,12093,42570,28935,21663,9186,43362,31634,20766,9227,42838,31340,23045,12174,57138,44598,31171,17089,70237,54110,38400,18776,46585,29097,15889,7045,21874,17446,11537,15009,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,132,60,0,
营业总成本(万元),11317,236104,53594,40591,18396,124881,54065,34473,18392,72391,42412,28393,14673,59379,32358,21506,12079,47838,31248,22561,9449,48439,34202,22616,11013,45027,32289,22284,11675,51570,39961,26500,13183,55579,40962,28226,13313,37853,23298,13174,4031,20310,15968,10446,14719,
营业成本(万元),5664,39100,33508,27043,13516,49342,39342,25236,14050,47948,27387,18328,9909,36076,23075,14754,7894,25891,17118,12842,5665,26847,19781,13124,5668,27442,19727,14934,8072,32779,25709,17340,9231,37039,28202,20102,9334,26109,15715,9125,4026,13412,10649,6927,10672,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,
