报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31,
营业总收入(万元),30055,316612,158303,75675,38290,289907,177915,137183,31336,305088,94704,60477,35926,264723,68097,57746,34315,165540,98710,68853,19289,220899,12594,9242,6033,101794,8360,6061,4003,66163,11013,6618,3513,58728,45694,39138,55356,23759,57953,52228,
营业收入(万元),30055,316612,158303,75675,38290,289907,177915,137183,31336,305088,94704,60477,35926,264723,68097,57746,34315,165540,98710,68853,19289,220899,12594,9242,6033,101794,8360,6061,4003,66163,11013,6618,3513,58728,45694,39138,55356,23759,57953,52228,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
营业总成本(万元),24562,314862,154961,74505,37613,277749,174116,134066,29491,295492,103514,69917,30141,198484,46932,39331,24776,119726,73297,50740,16057,160045,10018,7024,4327,60611,7537,5147,3183,40297,9666,5719,3025,39981,34629,29862,33473,15010,34821,33188,
营业成本(万元),21982,265270,134957,60819,31937,214868,141528,112941,20252,207794,56153,33234,19292,149318,30222,27392,18787,85982,55362,37260,12666,119215,3924,2706,1646,40025,3193,2262,1444,25760,5476,3348,1961,33058,29280,25912,23691,9369,26362,26367,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
