报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),772152,507097,230428,943608,685529,458370,217877,917857,672895,448612,209145,833204,593447,389626,181507,664702,478420,308520,144611,555468,418000,276097,140253,598905,396229,230519,
营业收入(万元),772152,507097,230428,943608,685529,458370,217877,917857,672895,448612,209145,833204,593447,389626,181507,664702,478420,308520,144611,555468,418000,276097,140253,598905,396229,230519,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),527096,322159,147984,661806,436041,288168,133866,576723,415795,280398,137879,530564,444776,295430,138538,494388,345379,221985,104449,368547,292907,192787,92338,445184,282352,178578,
营业成本(万元),232491,137467,66534,261277,182414,117405,57778,224138,163891,110289,58180,205347,202103,138127,68369,233510,164605,106611,54046,145226,139825,84965,43560,194705,108907,66759,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),23253,15277,7930,41392,19256,17590,10810,60387,31332,20543,10193,54417,27980,18434,8600,32362,23328,15396,7136,30095,22390,14839,7099,37520,24037,13667,
销售费用(万元),94848,57719,26451,120570,85009,56823,24998,119689,83905,55545,24853,105491,70756,42639,19853,89816,57640,34305,13337,80872,46169,31130,13304,88547,71577,37047,
管理费用(万元),75377,46807,20577,93508,76747,44793,19035,74223,71875,45260,22241,77335,75421,49629,20201,83583,58342,37870,16161,62563,52395,40301,16743,88363,48781,28680,
财务费用(万元),85580,54421,25723,87771,62147,40598,20551,77250,60553,45783,22597,80576,63552,41620,20426,51874,39162,25216,13246,43501,28054,19243,11632,35906,28992,28903,
资产减值损失(万元),15548,10468,768,57289,10468,10958,694,21036,4239,2978,-184,7398,4964,4981,1089,3244,2302,2587,524,6290,4075,2309,--,143,59,3522,
公允价值变动收益(万元),125515,96044,65857,175403,210973,148376,66546,100977,213038,139594,75362,186228,--,--,--,--,--,--,--,111249,--,--,--,--,--,--,
投资收益(万元),54693,6075,2883,13090,7566,5787,3247,14647,5875,4145,1701,-4585,1828,2366,-6,725,808,308,--,4418,6279,2052,32,8947,-1956,604,
对联营企业和合营企业的投资收益(万元),--,5429,--,13622,--,--,--,13273,--,--,--,2044,--,--,--,457,--,--,--,3124,--,--,--,747,-2044,610,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
