报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),4342,2458,611,94466,36883,14820,8716,139271,64554,48381,22796,361988,297577,205091,143755,366187,201463,138839,68395,401815,363434,308646,115894,1043552,838865,532483,335891,2032487,754716,1373030,514606,249883,
营业收入(万元),4342,2458,611,94466,36883,14820,8716,139271,64554,48381,22796,361988,297577,205091,143755,366187,201463,138839,68395,401815,363434,308646,115894,1043552,838865,532483,335891,2032487,754716,1373030,514606,249883,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业总成本(万元),43208,26695,21405,339950,115849,74114,33788,467525,193766,136227,51902,460402,349289,238943,163552,653503,292098,201200,98713,479604,381941,299267,109259,991854,758890,479473,298701,1719989,617979,1163224,452417,237193,
营业成本(万元),2902,1373,435,80241,29463,12990,7756,125921,55239,41924,19735,315349,259369,179822,122188,341724,183475,128736,62750,383530,342841,286960,109271,873556,681721,427804,270472,1613206,584704,1088124,427828,218561,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
