报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),158715,99564,197702,122940,185119,177558,159027,
营业收入(万元),158715,99564,197702,122940,185119,177558,159027,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),141354,89062,175303,109992,169887,164123,146783,
营业成本(万元),100217,62820,124674,78039,123421,117786,107650,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),710,477,1161,687,848,614,695,
销售费用(万元),25965,17155,30398,18942,26604,30290,25838,
管理费用(万元),13274,7832,16339,10189,16222,13701,11380,
财务费用(万元),543,362,1231,966,2054,1444,903,
资产减值损失(万元),645,417,1501,1170,737,287,316,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),53,53,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),17838,10768,22399,12949,15232,13435,12244,
营业外收入(万元),781,779,1508,486,1120,1050,1233,
营业外支出(万元),28,19,35,28,66,148,377,
非流动资产处置损失(万元),9,8,6,6,6,8,54,
利润总额(万元),18590,11528,23873,13406,16285,14337,13100,
所得税费用(万元),2910,1626,4102,2078,2807,2388,2310,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),15681,9902,19770,11328,13478,11949,10790,
归属于母公司所有者的净利润(万元),15681,9902,19770,11328,13478,11529,9880,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,420,910,
基本每股收益,0.78,0.5,0.99,0.57,0.8,0.75,0.64,
稀释每股收益,0.78,0.5,0.99,0.57,0.8,0.75,0.64,
