报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),2221015,7394289,5445886,3622844,1881431,6155684,4523298,2978592,1544627,4958925,3645501,2389356,1194492,4106840,3062815,1991252,984206,3343805,2479368,1616177,812994,2950766,2220386,1457349,756084,2483868,1853303,1202962,609253,2125177,1029650,1895771,1628760,1304810,
营业收入(万元),2221015,7394289,5445886,3622844,1881431,6155684,4523298,2978592,1544627,4958925,3645501,2389356,1194492,4106840,3062815,1991252,984206,3343805,2479368,1616177,812994,2950766,2220386,1457349,756084,2483868,1853303,1202962,609253,2125177,1029650,1895771,1628760,1304810,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),2193898,7259763,5370078,3567060,1860811,6051963,4469723,2938310,1528498,4877681,3600681,2356392,1181610,4046845,3030806,1968566,973838,3298406,2455252,1598439,804700,2910421,2198308,1439465,746144,2449443,1832378,1186726,600658,2081054,1014396,1860197,1603814,1285358,
营业成本(万元),2048258,6770553,4999164,3329466,1740359,5673260,4194059,2757118,1435625,4583444,3383415,2213682,1106267,3815298,2858458,1858072,919009,3120838,2326404,1513574,760165,2761692,2089486,1368050,709774,2333482,1746296,1129903,570584,1987488,965988,1780151,1536896,1238935,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
