报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),8911,6530,3374,8211,4841,2404,454,8039,6530,4583,3479,4483,2648,2549,1067,7755,6634,3797,2651,16847,9681,6590,3445,14401,8933,6062,3144,12468,8581,5786,3137,10892,4717,8794,7070,5429,
营业收入(万元),8911,6530,3374,8211,4841,2404,454,8039,6530,4583,3479,4483,2648,2549,1067,7755,6634,3797,2651,16847,9681,6590,3445,14401,8933,6062,3144,12468,8581,5786,3137,10892,4717,8794,7070,5429,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
营业总成本(万元),8100,6072,2787,10357,7327,4129,1375,7402,5370,3990,2895,8928,4445,3012,1509,4448,4052,2465,876,6253,3608,2508,916,4503,3122,2102,658,3581,3092,2083,971,3923,1750,3663,2516,1915,
营业成本(万元),5657,4263,1181,6230,4360,2484,577,4726,3075,2129,1279,2790,2169,1738,1338,3240,2477,1691,1089,4963,2798,1801,989,3677,2579,1723,820,2715,1730,1203,576,2087,818,1625,1355,1057,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
营业税金及附加(万元),237,144,63,249,166,94,8,75,14,14,26,41,14,6,2,24,9,2,--,7,--,--,--,391,392,322,168,668,462,318,173,599,259,485,390,294,
销售费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33,0,--,--,--,--,--,--,--,0,0,--,--,0,
管理费用(万元),3568,2195,1122,4082,3042,1855,793,3218,2487,1732,852,9171,3369,2373,1091,4254,2752,1863,669,2481,1494,1022,348,1905,1251,848,271,1212,1006,581,245,1267,651,891,833,471,
财务费用(万元),-1416,-529,458,91,-226,-209,-191,-2344,-1096,-681,-15,-2418,-1900,-1073,-828,-2034,-1611,-1088,-437,-1804,-1317,-1037,-560,-2274,-1704,-1161,-579,-1397,-504,-416,-36,7,4,-9,-4,2,
资产减值损失(万元),53,-1,-37,-294,-15,-94,189,1727,891,796,754,-655,793,-32,-95,-1036,425,-3,-445,606,633,723,107,804,604,370,-22,383,398,398,13,-37,18,672,-59,90,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,828,-580,-247,
投资收益(万元),856,856,36,568,216,35,-17,-218,-81,-36,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,-698,-668,0,
对联营企业和合营企业的投资收益(万元),--,--,--,-65,59,35,--,-218,-81,-36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
营业利润(万元),1668,1314,623,-1540,-2270,-1691,-938,419,1078,558,592,-4445,-1797,-463,-442,3307,2582,1332,1775,10595,6074,4082,2529,9898,5812,3960,2486,8887,5489,3703,2166,6969,2967,5260,3305,3267,
营业外收入(万元),31,21,10,11,235,31,22,1032,350,339,12,45,29,19,10,47,37,28,10,350,328,19,9,39,27,18,9,262,213,213,6,160,40,--,--,0,
营业外支出(万元),2,--,--,1,--,--,--,5,0,0,--,26,26,26,11,20,20,15,--,--,--,--,--,15,15,15,--,--,--,--,--,10,10,--,10,0,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
利润总额(万元),1696,1335,632,-1530,-2035,-1660,-916,1446,1429,896,604,-4426,-1795,-470,-444,3334,2600,1345,1784,10945,6402,4101,2538,9923,5823,3963,2495,9149,5702,3916,2172,7119,2997,5260,3295,3267,
所得税费用(万元),392,345,190,160,32,8,12,312,402,287,120,391,-21,103,110,888,689,459,251,1724,684,505,321,1539,675,518,360,1434,876,589,331,1083,451,343,251,260,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
净利润(万元),1305,990,442,-1690,-2067,-1668,-928,1135,1026,610,484,-4817,-1774,-573,-553,2447,1910,886,1534,9221,5717,3596,2218,8384,5148,3446,2134,7715,4826,3326,1842,6037,2546,4916,3045,3007,
归属于母公司所有者的净利润(万元),1067,893,416,-1678,-2028,-1595,-923,1136,1028,611,485,-4770,-1736,-543,-541,2457,1910,886,1534,9221,5717,3596,2218,8384,5148,3446,2134,7715,4826,3326,1842,6037,2546,4916,3045,3007,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,886,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,
少数股东损益(万元),237,97,26,-12,-39,-72,-6,-2,-2,-1,-0,-47,-38,-30,-12,-11,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,
基本每股收益,0.03,0.03,0.01,-0.05,-0.06,-0.05,-0.03,0.04,0.03,0.02,0.02,-0.15,-0.05,-0.02,-0.02,0.08,0.06,0.03,0.05,0.29,0.18,0.11,0.14,0.52,0.32,0.22,0.27,1.03,0.6,0.48,0.31,1.01,0.42,0.82,1.01,1,
稀释每股收益,0.03,0.03,0.01,-0.05,-0.06,-0.05,-0.03,0.04,0.03,0.02,0.02,-0.15,-0.05,-0.02,-0.02,0.08,0.06,0.03,0.05,0.29,0.18,0.11,0.14,0.52,0.32,0.22,0.27,1.03,0.58,0.48,0.23,1.01,0.42,0.82,1.01,1,
