报告日期,2017-09-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),150857,180975,132542,105626,
营业收入(万元),--,--,--,--,
利息收入(万元),229007,248584,201605,159639,
已赚保费(万元),--,--,--,--,
手续费及佣金收入(万元),39691,43429,38416,34145,
房地产销售收入(万元),--,--,--,--,
其他业务收入(万元),722,222,273,249,
营业总成本(万元),35299,71245,43861,32112,
营业成本(万元),--,--,--,--,
利息支出(万元),117244,108679,106317,87287,
手续费及佣金支出(万元),1852,2398,1435,1120,
房地产销售成本(万元),--,--,--,--,
研发费用(万元),--,--,--,--,
退保金(万元),--,--,--,--,
赔付支出净额(万元),--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,
保单红利支出(万元),--,--,--,--,
分保费用(万元),--,--,--,--,
其他业务成本(万元),280,415,86,48,
营业税金及附加(万元),355,2259,3359,2788,
销售费用(万元),12718,12680,8183,6832,
管理费用(万元),--,--,--,--,
财务费用(万元),--,--,--,--,
资产减值损失(万元),22225,55890,32233,22445,
公允价值变动收益(万元),840,-255,--,--,
投资收益(万元),296,71,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,
汇兑收益(万元),-324,--,--,--,
期货损益(万元),--,--,--,--,
托管收益(万元),--,--,--,--,
补贴收入(万元),--,--,--,--,
其他业务利润(万元),--,--,--,--,
营业利润(万元),115558,109730,88681,73513,
营业外收入(万元),43,226,9057,7582,
营业外支出(万元),63,50,28,8,
非流动资产处置损失(万元),--,--,--,--,
利润总额(万元),115538,109906,97711,81087,
所得税费用(万元),28877,27688,24463,20458,
未确认投资损失(万元),--,--,--,--,
净利润(万元),86661,82218,73248,60629,
归属于母公司所有者的净利润(万元),86661,82218,73248,60629,
被合并方在合并前实现净利润(万元),--,--,--,--,
少数股东损益(万元),--,--,--,--,
基本每股收益,0.37,--,--,--,
稀释每股收益,0.37,--,--,--,
