报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),837831,606166,376997,165843,758500,549270,349830,163497,696096,473986,301340,122789,516946,362299,232258,74068,371662,276268,192019,82972,352595,251750,163772,72350,268454,176885,104869,53478,203582,142589,93989,190503,117506,75189,
营业收入(万元),837831,606166,376997,165843,758500,549270,349830,163497,696096,473986,301340,122789,516946,362299,232258,74068,371662,276268,192019,82972,352595,251750,163772,72350,268454,176885,104869,53478,203582,142589,93989,190503,117506,75189,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),716818,505979,311127,134699,630546,454755,288870,135621,601609,426483,285537,119734,503193,353997,225609,70796,357128,268254,178883,77431,315078,222628,144647,65147,263311,179575,104445,53149,183179,129149,84551,150726,95711,74018,
营业成本(万元),596611,422851,258618,109689,515343,367894,233874,108240,491869,349051,239185,96667,423904,296803,188740,58045,296450,219390,152227,65266,250426,180143,120755,53544,226132,153129,89670,45803,159392,112910,73755,126586,81350,66532,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),31050,20140,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),11703,8722,5557,2714,14388,11698,8137,4640,9533,1989,980,273,2448,1591,1085,277,1762,1126,799,349,1536,679,308,98,731,471,285,174,687,501,404,1075,631,344,
销售费用(万元),10751,7565,4575,2150,4603,2133,1459,733,4734,4722,1530,730,2795,1945,1289,472,2089,1567,1084,524,2907,2259,1555,765,2998,2189,1390,655,2146,1455,947,1859,1294,872,
管理费用(万元),50738,38737,38042,19793,79041,57991,37658,17466,68326,50007,29624,14340,45362,33187,19785,7450,34893,31506,14704,6372,36515,21592,9906,4514,16053,10658,5758,2904,10665,7066,4646,12562,5577,2174,
财务费用(万元),10000,7854,4214,342,10396,10687,7743,4678,26412,20560,14067,7416,28151,20114,14357,4427,21922,14491,10101,5007,23394,17977,12087,6103,17461,13062,7334,3589,10081,7176,4727,8574,6898,3856,
资产减值损失(万元),5966,111,122,10,6775,4352,-0,-136,736,155,152,308,533,357,353,125,12,173,-32,-87,301,-22,36,122,-64,66,8,22,208,41,73,70,-39,240,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),3274,3278,3201,3082,5,120,21,-6,-390,-347,-233,-127,-191,-38,-19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,-45,-252,
对联营企业和合营企业的投资收益(万元),--,178,101,-18,5,120,21,-6,-390,-347,-233,--,--,-38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),134915,110109,73590,35752,134926,94636,60980,27870,94097,47157,15570,2928,13562,8264,6630,3272,14534,8014,13136,5541,37517,29123,19125,7204,5143,-2690,425,329,20403,13440,9437,39778,21750,919,
营业外收入(万元),861,1806,1715,1793,1882,6879,4819,2222,11674,8121,4328,1674,14734,11306,8685,1120,48019,11843,1218,651,7286,7575,584,49,17884,17125,14009,13988,3451,654,44,1319,359,120,
营业外支出(万元),1072,47,45,16,1618,440,211,73,3833,627,559,95,4189,4002,3576,106,37994,275,184,14,51,25,12,9,27,31,24,24,10,4,3,618,45,58,
非流动资产处置损失(万元),--,--,--,--,--,392,203,72,3276,540,487,55,3998,3725,3480,9,37953,234,174,11,10,6,4,--,9,27,23,1,8,--,--,306,38,--,
利润总额(万元),134705,111869,75259,37530,135189,101074,65587,30019,101938,54651,19339,4506,24107,15569,11740,4286,24559,19583,14170,6179,44752,36672,19697,7244,22999,14404,14410,14293,23844,14090,9478,40480,22064,981,
