报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),3070615,2206017,1654197,659414,3083023,2091333,1457770,558598,3328572,2363971,1821961,928720,3601794,2600080,1820494,768556,3903616,2847354,1898417,825961,4239080,3038828,2046711,834634,3807920,2969897,2001149,963076,4291662,3009086,1975921,857746,3808011,2596751,1691137,691853,3322325,2279024,1517421,721884,2794805,1912300,1206976,595770,2488678,448029,272305,129951,2307726,340370,206522,85381,
营业收入(万元),2972966,2133378,1609892,659414,3083023,2091333,1457770,558598,3328572,2363971,1821961,928720,3601794,2600080,1820494,768556,3903616,2847354,1898417,825961,4239080,3038828,2046711,834634,3807920,2969897,2001149,963076,4291662,3009086,1975921,857746,3808011,2596751,1691137,691853,3322325,2279024,1517421,721884,2794805,1912300,1206976,595770,2488678,448029,272305,129951,2307726,340370,206522,85381,
利息收入(万元),96928,71908,43585,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,--,--,0,--,0,--,0,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,--,--,0,--,0,--,0,--,--,
手续费及佣金收入(万元),721,730,721,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,--,--,0,--,0,--,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,--,--,0,--,--,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,--,--,0,--,--,--,0,--,--,
营业总成本(万元),2992669,2118834,1604475,643135,3050830,2057461,1423053,553862,3552130,2490076,1869687,926090,3580486,2577257,1799677,760593,3795520,2739205,1806998,778690,3986260,2833126,1916880,783902,3574681,2766582,1860294,881426,3966080,2755618,1812418,788575,3544250,2411288,1580730,640755,3159634,2142322,1432914,681445,2639698,1796672,1123695,494650,2243906,361491,223880,106088,2059974,268733,164416,69655,
营业成本(万元),2356829,1752698,1350550,549368,2530329,1737978,1207713,474520,2927777,2100744,1620903,838682,2995976,2264714,1603535,678591,3249581,2403365,1595966,694617,3374287,2449712,1671312,679873,3000192,2386454,1609589,770565,3395440,2386739,1563277,683868,3037988,2104184,1388857,555889,2751083,1921465,1284507,614187,2338992,1604666,1018536,494650,2008867,326949,203320,96753,1861542,242195,146562,61431,
利息支出(万元),7513,6000,3924,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,--,--,0,--,0,--,0,--,--,
手续费及佣金支出(万元),97,84,60,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,--,--,0,--,0,--,0,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,--,--,0,--,--,--,0,--,--,
研发费用(万元),168901,65043,43154,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,--,--,0,--,--,--,0,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,--,--,0,--,0,--,0,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,--,--,0,--,0,--,0,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,--,--,0,--,0,--,0,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,--,--,0,--,0,--,0,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,--,--,0,--,0,--,0,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,--,--,0,--,--,--,0,--,--,
营业税金及附加(万元),33452,20702,17450,7528,30868,20750,16927,4667,37771,16193,10965,5197,33008,26125,14613,5736,23786,15663,11424,6050,30247,21511,15459,7609,28481,23389,15927,5929,23783,17412,9478,2859,22748,16322,10876,3587,7465,3406,1482,532,5864,2496,2288,965,5825,1890,897,14,3948,201,182,40,
销售费用(万元),135797,69830,45173,16656,85394,67023,53817,19789,144696,69202,51065,24040,96488,51217,34405,12585,89193,49715,31261,13441,96063,59165,43169,15588,85052,56548,37479,16652,88870,55544,35300,15312,80697,62745,33732,14846,78813,54042,34843,15385,46440,34061,20005,7338,38525,4271,3292,698,28407,4355,3504,702,
管理费用(万元),250140,188825,114859,62949,360986,218953,146342,61261,356268,228965,146713,62578,336176,216839,144557,69800,360966,225112,145026,65251,372879,236612,155812,72979,357833,236794,157226,73362,339772,229082,151172,73154,308152,173461,112508,51622,226088,124093,80224,35436,168363,107922,61562,30337,165913,27439,16427,7899,124359,24198,15485,8901,
财务费用(万元),-38054,-34559,-15503,-4340,-30969,-31091,-21888,-4960,-64146,-35605,-25359,-7000,-47700,-25870,-9212,-2008,-18128,-9181,-10579,-2999,-13357,-2978,-4506,1052,-8463,-1082,-1127,-1755,-8791,-3583,-2755,-1199,-4020,2855,-898,1442,13521,8696,8422,6223,18250,15632,9507,2867,-4534,-2825,-1367,-1115,-13557,-3877,-2910,-1331,
资产减值损失(万元),52400,50211,44807,10974,74222,43850,20142,-1415,149764,110576,65399,2593,166537,44231,11779,-4110,90122,54531,33900,2330,126141,69104,35634,6802,111585,64479,41201,16672,127005,70423,55946,14581,98685,51722,35655,13370,82664,30621,23436,9680,61789,31895,11797,10252,29311,3765,1312,1840,55275,1662,1594,-88,
公允价值变动收益(万元),8365,-281,-828,-31,-563,-535,-387,235,-490,-286,-454,-294,-2094,-667,-11,-839,3261,793,-58,342,2217,2610,2178,1193,-2985,-6718,-5665,-812,-4109,2301,3214,10,2666,1336,1159,-10,162,17,15,10,-71,-67,-57,--,84,0,--,0,--,0,--,--,
投资收益(万元),24595,13085,14326,5397,18571,3494,3582,1144,24453,14911,13865,1497,19184,11278,5375,4129,21203,12945,4647,1813,22656,12086,6733,884,17967,11313,7618,2043,14160,9163,5536,960,9162,3770,1177,633,2412,2913,837,-1058,-863,-1512,-773,-310,-2401,-437,154,0,564,0,--,--,
对联营企业和合营企业的投资收益(万元),13256,4151,7624,4981,17743,2632,2812,1389,24635,15146,14282,842,16561,8770,3046,1799,22490,11969,4401,1813,21317,10798,6545,884,17090,10436,7342,2052,12208,7336,3710,473,9162,3770,1177,633,2350,2713,837,-1058,-846,-1498,-773,-310,-2401,-437,154,0,184,0,--,--,
