报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),13800,78979,54420,32347,10350,75088,48724,27945,10609,82522,55087,37184,18015,75917,87167,74803,61032,
营业收入(万元),13800,78979,54420,32347,10350,75088,48724,27945,10609,82522,55087,37184,18015,75917,87167,74803,61032,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),13777,74553,50399,29670,9199,69798,43567,25483,9659,75362,50205,33993,16807,64985,74706,63141,48949,
营业成本(万元),11033,61309,42809,24643,6757,57346,37017,20869,7108,63590,42791,29195,14264,54975,64176,52426,39085,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),110,533,384,361,199,728,158,138,89,466,313,234,134,410,619,743,610,
销售费用(万元),653,2864,1672,1143,493,2039,1111,739,352,2078,1357,914,354,2090,2287,2323,1472,
管理费用(万元),1679,9974,5389,3631,1686,10282,5487,3718,1772,9421,5163,3461,1565,7033,7318,6784,7359,
财务费用(万元),-138,-1036,-751,-615,-227,-1436,-1070,-636,-179,-936,-555,-612,-165,-198,-445,-217,-151,
资产减值损失(万元),440,910,896,508,293,839,864,656,517,743,1136,800,655,676,750,1083,574,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),259,584,600,411,97,543,94,54,-1,278,107,102,-22,425,82,169,489,
对联营企业和合营企业的投资收益(万元),-2,87,130,7,-25,89,73,33,-22,92,51,45,-22,197,194,131,107,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),309,5963,4685,3145,1248,5833,5250,2516,949,7438,4988,3293,1186,11356,12543,11830,12572,
营业外收入(万元),74,1227,518,323,90,2553,871,609,130,2342,472,383,117,2548,3620,2714,1398,
营业外支出(万元),0,41,32,21,1,170,3,0,0,44,27,3,3,27,21,2,47,
非流动资产处置损失(万元),--,--,7,7,--,2,--,--,--,13,1,0,--,0,0,0,0,
利润总额(万元),383,7149,5171,3447,1338,8216,6119,3125,1078,9736,5433,3672,1300,13878,16141,14543,13923,
所得税费用(万元),--,8,10,27,--,191,-6,7,--,-17,-230,-161,31,94,-24,77,3,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),383,7141,5161,3420,1338,8025,6125,3118,1078,9753,5663,3833,1268,13784,16165,14466,13919,
归属于母公司所有者的净利润(万元),414,7528,5323,3500,1427,8425,6229,3195,1183,10156,6275,4196,1482,14120,16390,14576,13999,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-31,-387,-162,-80,-89,-400,-104,-78,-104,-403,-612,-362,-213,-336,-225,-110,-80,
基本每股收益,0.01,0.13,0.09,0.12,0.05,0.29,0.22,0.11,0.05,0.56,0.29,0.23,0.08,0.78,0.91,0.81,0.81,
稀释每股收益,0.01,0.13,0.09,0.12,0.05,0.29,0.22,0.11,0.05,0.56,0.29,0.23,0.08,0.78,0.91,0.81,0.81,
