报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-03-31,2008-12-31,2007-12-31,
营业总收入(万元),235231,64313,525326,354487,212624,52718,390606,265914,145208,42500,440051,300775,212677,54778,500694,330322,219224,51199,429730,264990,161355,39224,319299,207497,118909,34368,249350,161614,91209,25308,129043,82316,53637,18720,65949,49343,8853,48580,39168,
营业收入(万元),235231,64313,525326,354487,212624,52718,390606,265914,145208,42500,440051,300775,212677,54778,500694,330322,219224,51199,429730,264990,161355,39224,319299,207497,118909,34368,249350,161614,91209,25308,129043,82316,53637,18720,65949,49343,8853,48580,39168,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,
营业总成本(万元),243264,76915,496174,337236,206742,61175,387277,261177,142825,51019,434138,294852,197182,57631,452445,303526,202567,51208,387548,242751,146088,39235,283863,188373,107257,34313,215364,139723,77003,22465,110283,70602,45567,16691,57218,44001,8048,42266,34175,
营业成本(万元),199370,56961,416343,282650,172355,47503,325414,221601,120744,40069,363973,248327,167030,47165,382569,253857,169098,40257,329340,205325,124468,31892,234635,152612,84745,24997,179547,115655,63158,17729,93341,59575,38883,13680,48399,36778,6436,35884,29708,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,
