报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),14975,81857,54568,37352,16139,79449,52055,34466,12784,70872,40875,27166,11910,58178,36876,24104,65080,60891,48650,
营业收入(万元),14975,81857,54568,37352,16139,79449,52055,34466,12784,70872,40875,27166,11910,58178,36876,24104,65080,60891,48650,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),14195,74476,50181,34119,14674,72671,47775,30932,11527,64567,36599,23801,10552,53222,33381,21425,58593,54422,42996,
营业成本(万元),11163,61031,40468,27658,11982,60054,39608,26141,9497,55132,30966,20428,8866,44075,27504,17460,48823,44976,36433,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),23,474,97,78,18,482,131,115,9,442,154,102,59,370,100,68,414,480,318,
销售费用(万元),824,3278,2194,1598,813,3131,2077,1303,561,2990,1743,1094,519,2631,1639,1099,3024,3124,2000,
管理费用(万元),1883,9118,6379,4141,1859,8195,5222,3117,1403,5896,3597,2285,1136,5323,3545,2265,5685,5231,4113,
财务费用(万元),-56,-97,-95,-70,-44,-79,-101,-99,-37,-69,-18,-55,12,154,88,43,373,181,148,
资产减值损失(万元),356,673,1138,713,47,888,838,354,94,176,157,-53,-41,669,505,490,274,430,-16,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,
投资收益(万元),-9,149,114,44,14,229,189,137,82,74,66,--,--,--,--,--,--,--,-3,
对联营企业和合营企业的投资收益(万元),-43,-0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),913,7949,4532,3277,1479,7006,4469,3671,1338,6379,4342,3366,1357,4956,3495,2679,6487,6468,5653,
营业外收入(万元),--,17,143,123,72,883,538,138,89,531,287,180,94,397,338,276,390,389,334,
营业外支出(万元),--,8,7,1,1,--,--,--,--,0,0,--,--,0,0,0,1,11,82,
非流动资产处置损失(万元),--,--,7,1,1,--,--,--,--,--,--,--,--,--,--,--,0,4,82,
利润总额(万元),913,7958,4667,3399,1549,7889,5006,3808,1427,6910,4629,3545,1451,5352,3833,2955,6876,6847,5905,
所得税费用(万元),87,1030,544,432,259,986,768,587,218,906,604,484,247,680,513,415,937,955,844,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),827,6928,4123,2966,1290,6904,4238,3221,1209,6004,4024,3062,1204,4672,3320,2539,5939,5892,5061,
归属于母公司所有者的净利润(万元),827,6928,4123,2966,1290,6904,4238,3221,1209,6004,4024,3062,1204,4672,3320,2539,5939,5892,5061,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.05,0.43,0.26,0.18,0.16,0.86,0.53,0.4,0.15,0.86,0.6,0.51,0.2,0.78,0.55,0.42,0.99,0.98,0.84,
稀释每股收益,0.05,0.43,0.26,0.18,0.16,0.86,0.53,0.4,0.15,0.86,0.6,0.51,0.2,0.78,0.55,0.42,0.99,0.98,--,
