报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),1707657,7294611,5506602,3677025,1810717,6778978,5020927,3303707,1682980,5673819,3998567,2511887,1137861,6791271,5200199,3544127,1706372,8676644,6846778,4671600,2013819,10502032,8300054,5437867,2512429,10351528,7743793,5014202,2264154,9622026,7079634,4583652,2154812,8719780,6660410,4341922,2057636,7182836,4948550,2895854,1243437,8306286,6751955,4280355,2057193,8110475,6043397,4012673,1786452,4045320,2536267,1496366,576057,
营业收入(万元),1707657,7294611,5506602,3677025,1810717,6778978,5020927,3303707,1682980,5673819,3998567,2511887,1137861,6791271,5200199,3544127,1706372,8676644,6846778,4671600,2013819,10502032,8300054,5437867,2512429,10351528,7743793,5014202,2264154,9622026,7079634,4583652,2154812,8719780,6660410,4341922,2057636,7182836,4948550,2895854,1243437,8306286,6751955,4280355,2057193,8110475,6043397,4012673,1786452,4045320,2536267,1496366,576057,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,--,0,0,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,--,0,0,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,--,0,0,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,--,--,0,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,--,--,0,--,--,--,
营业总成本(万元),1678714,6775865,5059096,3356787,1647890,6328665,4815051,3237966,1657217,5592625,3933443,2495880,1195325,7173193,5293536,3551538,1706884,8656120,6804850,4644546,2003764,10458453,8269898,5414930,2493385,10255853,7684330,4985004,2251323,9440180,6944714,4491587,2105689,8575045,6548583,4251197,2006435,7087611,4944466,2964470,1313982,8184515,6457532,4045888,1973241,7580567,5594148,3681252,1629999,3704840,2330807,1395095,555904,
营业成本(万元),1554659,6123657,4596758,3049985,1512006,5673115,4359797,2930168,1519811,4843658,3412189,2138141,1029611,6469318,4778122,3230649,1552253,8000856,6322372,4328628,1844172,9836127,7768705,5068987,2320381,9582908,7156424,4648360,2108898,8797587,6490009,4217152,1975241,7945680,6084698,3936456,1897883,6533190,4584630,2733067,1189119,7451761,5971490,3713984,1801704,7075417,5243269,3465440,1534481,3465348,2231697,1341400,539597,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,--,0,0,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,--,0,0,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,--,--,0,--,--,--,
研发费用(万元),41604,221699,165453,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,--,--,0,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,--,0,0,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,--,0,0,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,--,0,0,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,--,0,0,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,--,0,0,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,--,--,0,--,--,--,
