报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
营业总收入(万元),87914,62434,39628,18663,88329,62944,38637,14207,72790,54993,30802,14402,70083,53103,32443,18803,87261,68118,46649,22889,89641,70845,44246,21222,81073,63920,41641,19962,85570,67442,42420,19728,68569,49626,29597,48932,36585,48991,38038,
营业收入(万元),87914,62434,39628,18663,88329,62944,38637,14207,72790,54993,30802,14402,70083,53103,32443,18803,87261,68118,46649,22889,89641,70845,44246,21222,81073,63920,41641,19962,85570,67442,42420,19728,68569,49626,29597,48932,36585,48991,38038,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,
营业总成本(万元),90211,64713,43083,21498,99436,70295,43670,18147,84881,63851,36555,17218,81354,59840,37462,21421,85093,64498,43077,21335,81375,66946,41199,20322,76548,60228,39428,19003,76976,60159,38317,17968,61029,43587,26488,44085,33072,44674,34948,
营业成本(万元),70078,50661,32953,15926,72501,51526,31496,12135,58124,43077,24626,11761,55722,40812,25657,15551,61857,48935,33252,17006,65080,53062,33636,16438,61937,49280,32649,15731,65460,51863,32743,15214,50814,36487,22064,37027,27603,38830,30258,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,
研发费用(万元),1152,948,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,
营业税金及附加(万元),123,94,62,26,388,276,182,86,294,80,47,22,119,89,60,24,113,87,58,24,134,110,46,24,90,65,41,16,85,61,41,20,52,34,23,15,7,--,0,
销售费用(万元),10923,7478,5039,2810,8511,6543,4032,2220,8235,7430,5431,2447,9551,8035,5695,3127,11224,7736,5318,2900,8916,7086,4423,2268,8402,5886,3379,1712,6337,4160,2809,1268,5004,3197,1927,2641,1801,1619,1276,
管理费用(万元),7390,5070,4110,1877,13069,8844,5798,2863,14461,10046,4696,2260,13509,9155,4679,2077,9092,5803,3604,1739,6605,5875,3312,1726,6119,4955,3300,1672,5938,4457,2954,1579,3826,2891,1884,3210,2684,2597,1992,
财务费用(万元),482,345,941,865,4248,2936,1996,1019,3664,3025,1832,897,2452,1687,1323,757,2651,1720,637,-138,422,507,-470,146,-30,-32,-92,-40,-800,-442,-333,-96,1272,937,539,1062,796,1570,1430,
资产减值损失(万元),62,117,-22,-6,718,170,165,-176,103,193,-77,-170,1,62,48,-114,155,216,207,-195,219,306,252,-281,29,74,151,-89,-44,59,103,-18,61,40,51,131,181,58,-8,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,0,0,--,--,--,
投资收益(万元),1998,1527,1145,460,9685,1227,929,388,8306,739,355,246,906,757,539,311,29,56,56,-77,4,--,--,--,-127,0,0,--,--,--,--,--,--,--,0,0,--,--,--,
对联营企业和合营企业的投资收益(万元),1601,1130,767,345,1528,1227,929,388,981,739,355,246,906,757,539,311,29,56,56,-77,4,--,--,--,-127,0,--,--,--,--,--,--,--,--,0,0,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,
