报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),44078,28461,55167,39077,13109,46932,42590,34737,
营业收入(万元),44078,28461,55167,39077,13109,46932,42590,34737,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),35104,23177,45804,31805,10584,39584,36921,31978,
营业成本(万元),14471,9764,19657,13502,4641,17811,15439,12859,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),787,550,899,530,187,595,492,387,
销售费用(万元),17360,11295,21808,15652,4759,17904,18135,15978,
管理费用(万元),2433,1544,2963,1835,739,2830,2297,2221,
财务费用(万元),-7,-1,171,139,27,401,389,445,
资产减值损失(万元),61,25,305,147,230,43,170,87,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,1,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),10830,5431,9363,7272,2525,7348,5670,2759,
营业外收入(万元),43,32,1988,1707,84,1330,1313,1079,
营业外支出(万元),3,1,6,5,1,2,5,80,
非流动资产处置损失(万元),0,--,--,--,--,--,0,1,
利润总额(万元),10869,5462,11345,8974,2607,8676,6979,3757,
所得税费用(万元),1594,850,1774,1291,389,1407,1048,854,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),9275,4612,9571,7682,2218,7269,5930,2903,
归属于母公司所有者的净利润(万元),9275,4612,9571,7682,2218,7384,5875,2895,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,-115,55,8,
基本每股收益,0.26,0.13,0.27,0.21,0.06,0.21,--,--,
稀释每股收益,0.26,0.13,0.27,0.21,0.06,0.21,--,--,
