报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-03-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),64617,39828,17172,77064,56622,36317,15618,62901,11154,45571,20201,38085,32350,23308,
营业收入(万元),64617,39828,17172,77064,56622,36317,15618,62901,11154,45571,20201,38085,32350,23308,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),65451,41885,16488,68660,50158,32557,13827,58150,10195,40708,17612,34655,29243,21102,
营业成本(万元),47840,29335,12295,51597,37697,24547,10520,45903,8029,32880,14723,28379,24745,18100,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),423,232,121,525,382,197,88,382,60,340,155,279,170,133,
销售费用(万元),8000,5542,1581,7638,5172,3454,1277,5302,900,2467,922,2475,1204,618,
管理费用(万元),8695,6596,2579,9746,7119,4546,2041,6852,1221,5038,1907,3296,3040,2273,
财务费用(万元),346,154,3,-957,-377,-288,-31,-486,-83,-116,-90,194,32,45,
资产减值损失(万元),147,26,-91,111,164,102,-69,198,67,99,-4,31,52,-67,
公允价值变动收益(万元),--,--,--,68,68,68,100,-260,351,-16,-185,69,-13,160,
投资收益(万元),331,191,108,-141,-121,-121,-130,203,20,87,77,246,227,288,
对联营企业和合营企业的投资收益(万元),-26,-36,--,-25,-5,-5,--,-9,-4,-6,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-327,-1718,792,8332,6412,3707,1761,4693,1330,4933,2481,3745,3321,2653,
营业外收入(万元),562,490,561,1059,367,221,15,1237,64,377,121,431,117,64,
营业外支出(万元),119,119,5,54,22,11,3,51,6,29,11,9,5,30,
非流动资产处置损失(万元),2,2,1,17,17,6,1,18,5,13,8,1,1,--,
利润总额(万元),117,-1347,1348,9337,6756,3917,1773,5878,1388,5281,2590,4167,3433,2687,
所得税费用(万元),413,141,365,1285,1064,354,189,859,270,747,376,650,567,461,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),-296,-1487,983,8052,5692,3563,1584,5019,1118,4534,2214,3517,2866,2226,
归属于母公司所有者的净利润(万元),-285,-1482,983,8052,5692,3563,1584,5019,1118,4534,2214,3517,2866,2226,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-11,-5,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,-0.02,-0.08,0.05,1.77,0.4,0.81,0.11,1.14,0.25,1.06,0.53,0.84,0.68,--,
稀释每股收益,-0.02,-0.08,0.05,1.77,0.4,0.81,0.11,1.14,0.25,1.06,0.53,0.84,0.68,--,
