报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),27800,126857,84903,52850,20543,95537,60566,32315,14090,51113,35611,23571,10487,38407,27526,17392,6424,22465,12501,7498,2589,15814,12402,8261,19045,20888,12258,
营业收入(万元),27800,126857,84903,52850,20543,95537,60566,32315,14090,51113,35611,23571,10487,38407,27526,17392,6424,22465,12501,7498,2589,15814,12402,8261,19045,20888,12258,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),23203,107220,71928,45414,18104,77379,48537,25896,11448,38319,27289,17749,8105,25425,18518,11360,4348,15260,8624,5192,2154,10541,7956,5296,11242,13913,8904,
营业成本(万元),16593,77569,54017,34095,13038,56255,35638,18496,8348,28101,20598,13733,6328,16971,12801,7692,2777,10339,5859,3533,1215,6728,5117,3397,7171,10017,5919,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),209,1429,982,618,136,1147,442,221,106,431,294,202,79,321,211,119,34,165,96,58,22,142,125,85,232,189,113,
销售费用(万元),1766,8403,5583,3463,1559,6607,3778,2262,1042,3497,2289,1441,668,3385,2092,1405,566,1895,1079,676,346,1061,663,427,1090,981,737,
管理费用(万元),3924,16564,10691,6649,3332,12574,8116,4588,1821,6258,4293,2651,1225,5151,3715,2386,1050,3735,2244,1382,753,2610,1801,1168,2451,2040,1532,
财务费用(万元),217,112,9,106,82,-896,-235,-144,-6,-978,-851,-677,-239,-1153,-875,-580,-113,-1243,-786,-552,-159,-270,74,66,92,348,496,
资产减值损失(万元),494,3143,646,483,-42,1693,797,474,138,1010,666,399,46,750,574,338,34,370,133,95,-23,270,175,153,207,338,107,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),469,290,85,194,54,-38,-68,-52,-43,1,4,26,--,0,--,--,--,39,65,65,26,--,--,--,16,20,3,
对联营企业和合营企业的投资收益(万元),47,446,70,194,54,-51,--,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,218,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),5402,20991,13638,7791,2492,18120,11961,6368,2599,12795,8326,5848,2381,12982,9007,6032,2075,7244,3942,2371,461,5273,4446,2965,7820,6994,3357,
营业外收入(万元),6,151,388,155,256,653,361,210,127,429,873,465,32,571,369,208,58,401,291,222,173,862,835,539,1028,626,178,
营业外支出(万元),16,272,70,56,28,94,47,17,8,61,29,22,8,144,104,58,6,61,11,6,2,29,23,8,203,23,16,
非流动资产处置损失(万元),--,--,16,6,6,9,9,5,--,2,2,2,--,14,14,14,--,0,--,0,--,--,--,--,5,--,1,
利润总额(万元),5393,20870,13955,7890,2721,18679,12275,6561,2718,13163,9170,6291,2406,13409,9272,6182,2128,7584,4222,2587,632,6106,5259,3496,8645,7598,3519,
所得税费用(万元),828,3582,2416,1400,431,2873,1856,918,400,1926,1192,783,321,2098,1292,962,300,1110,558,321,74,872,745,507,1260,1162,433,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),4564,17288,11539,6490,2289,15807,10419,5643,2319,11237,7978,5508,2085,11311,7980,5220,1827,6474,3664,2265,558,5234,4514,2989,7385,6436,3086,
归属于母公司所有者的净利润(万元),4915,18125,12197,6784,2433,16138,10704,5816,2396,11478,8165,5623,2083,11415,8037,5259,1847,6508,3664,2265,558,5234,4514,2989,7385,6209,2883,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-351,-837,-658,-294,-144,-331,-285,-173,-77,-242,-187,-115,2,-104,-57,-39,-20,-34,--,--,--,--,--,--,--,227,203,
基本每股收益,0.13,0.47,0.32,0.18,0.06,0.45,0.3,0.17,0.07,0.34,0.24,0.17,0.06,0.74,0.52,0.34,0.18,0.64,0.36,0.22,0.07,0.82,0.77,0.51,1.26,1.13,--,
稀释每股收益,0.13,0.47,0.32,0.18,0.06,0.45,0.3,0.17,0.07,0.34,0.24,0.17,0.06,0.74,0.52,0.34,0.18,0.64,0.36,0.22,0.07,0.82,0.77,0.51,1.26,1.13,--,
