报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),30488,19613,8647,51485,27970,16872,6228,49230,22462,14227,5903,47002,16693,10572,4335,26273,13949,8689,3814,22820,10536,6529,2827,18996,9442,6975,12695,9169,6902,
营业收入(万元),30488,19613,8647,51485,27970,16872,6228,49230,22462,14227,5903,47002,16693,10572,4335,26273,13949,8689,3814,22820,10536,6529,2827,18996,9442,6975,12695,9169,6902,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),29823,18930,8785,46154,26940,16010,6955,42178,21103,13137,6415,41350,15896,10307,4651,19837,12851,7977,3774,17892,9720,5856,2789,13195,8516,5998,8995,6540,5249,
营业成本(万元),6158,3523,1328,16286,8117,4025,501,18259,4086,2585,1117,21447,3221,1848,723,3171,1390,972,516,4702,907,327,169,2280,1259,984,1282,420,550,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),6221,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),257,143,58,827,285,153,106,536,162,115,64,478,144,95,58,388,82,29,14,342,78,42,25,211,139,96,224,169,147,
销售费用(万元),7587,4848,2247,10130,6916,4417,2226,8935,5889,3674,1946,7601,5530,3455,1610,6635,4816,2870,1498,5698,3941,2279,1154,5251,3770,2518,3759,3324,2955,
管理费用(万元),5533,7812,3849,13551,10065,6549,3347,11802,8748,5561,2878,9539,6212,4191,2303,8203,6349,3791,1764,6604,4684,2977,1467,4983,3342,2123,3487,2493,1697,
财务费用(万元),-160,-47,-33,-136,-2053,-1316,-150,-598,-218,-161,-58,-600,-458,-218,-102,-911,-575,-182,-51,-740,-328,-167,-28,-261,-147,-27,-14,-32,-5,
资产减值损失(万元),4228,2650,1335,5497,3609,2183,925,3244,2435,1362,468,2885,1246,937,58,2350,789,497,33,1286,439,397,2,731,153,303,257,166,-95,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
投资收益(万元),882,797,121,2287,-386,-241,-110,-208,-43,--,--,23,23,--,--,--,--,--,--,--,--,--,--,0,--,--,2,--,37,
对联营企业和合营企业的投资收益(万元),-801,-432,-210,-787,-401,-256,-120,-223,-43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),3124,2454,7,9848,2013,1522,-838,6844,1316,1090,-512,5674,820,265,-316,6437,1098,712,40,4928,815,673,37,5801,925,978,3702,2628,1690,
营业外收入(万元),0,0,127,11,181,93,780,1784,916,721,289,2103,1077,949,199,979,478,305,15,1858,625,504,1,1007,579,399,1268,1898,846,
营业外支出(万元),3,3,--,79,11,11,--,1,1,1,1,8,--,--,--,1,1,0,--,0,0,--,--,3,3,3,0,--,23,
非流动资产处置损失(万元),--,--,--,--,0,--,--,1,1,1,1,8,--,--,--,1,--,0,--,--,0,--,--,0,--,--,0,--,1,
利润总额(万元),3122,2451,135,9780,2184,1604,-58,8626,2231,1810,-225,7769,1898,1214,-117,7415,1575,1017,55,6787,1441,1177,38,6804,1501,1374,4969,4526,2514,
所得税费用(万元),-194,51,30,745,-221,-117,-118,602,-9,97,-264,697,-121,-154,-146,616,-64,-47,28,8,-123,-173,19,794,163,173,492,498,258,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),3316,2400,105,9034,2405,1721,61,8024,2240,1713,39,7072,2019,1367,29,6799,1639,1064,26,6779,1564,1350,19,6011,1338,1201,4477,4028,2256,
归属于母公司所有者的净利润(万元),3356,2431,123,9145,2514,1775,82,8035,2240,1713,39,7072,2019,1367,29,6799,1639,1064,26,6779,1564,1350,19,6011,1338,1201,4477,4028,2256,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-89,0,--,--,--,--,--,
少数股东损益(万元),-41,-31,-18,-111,-109,-54,-22,-11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
基本每股收益,0.02,0.02,0,0.06,0.02,0.01,0,0.15,0.04,0.03,0,0.26,0.08,0.05,0,0.25,0.06,0.04,0,0.51,0.12,0.1,0,1.11,0.2,0.24,0.9,0.81,0.64,
稀释每股收益,0.02,0.02,0,0.06,0.02,0.01,0,0.15,0.04,0.03,0,0.26,0.08,0.05,0,0.25,0.06,0.04,0,0.51,0.12,0.1,0,1.11,0.2,0.24,0.9,0.81,0.64,
