报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),76805,308483,226799,146430,66621,221827,156911,101790,44098,153200,114270,76009,34019,118194,91507,55790,26901,87961,63643,71680,62379,32062,43082,25746,18951,
营业收入(万元),76805,308483,226799,146430,66621,221827,156911,101790,44098,153200,114270,76009,34019,118194,91507,55790,26901,87961,63643,71680,62379,32062,43082,25746,18951,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),67465,277167,203433,130996,58994,197315,137933,89042,37730,136728,100752,66837,29469,103563,79866,48879,23472,77193,55362,63511,54648,27688,37577,22641,16917,
营业成本(万元),56546,225563,165332,106961,47785,153321,106909,69293,28590,105402,78262,51872,22796,79373,61251,37333,18260,58489,42523,49066,42062,21767,28575,16827,13491,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),252,1442,880,412,147,1835,992,795,703,1217,828,565,274,681,562,329,168,556,431,502,328,174,240,100,67,
销售费用(万元),5861,32348,20403,12657,5381,28400,18711,12588,4678,19810,12784,8251,3572,14400,9779,6133,2901,10742,7088,8094,6921,3121,5268,3320,1672,
管理费用(万元),3691,15835,12670,8287,3299,12294,9091,5463,2924,9894,6530,4458,1881,7325,5917,4060,1494,5673,3795,4720,4474,1778,3150,1976,1443,
财务费用(万元),-1113,-698,-357,-216,-117,-674,-851,-708,-394,-868,-670,-503,-122,734,471,251,73,368,271,437,522,199,204,182,26,
资产减值损失(万元),2229,2678,4505,2893,2499,2140,3081,1612,1229,1273,3017,2193,1068,1049,1886,773,576,1366,1254,692,340,649,140,235,218,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-14,637,377,403,250,661,0,0,0,28,28,28,29,18,-16,-1,-27,-6,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),-71,228,7,45,5,123,0,--,--,28,--,--,--,18,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),9682,32598,24134,15985,7877,25173,18979,12748,6368,16500,13546,9201,4579,14649,11625,6910,3403,10762,8281,8169,7731,4374,5505,3105,2034,
营业外收入(万元),1,4,3,1,106,1404,666,268,8,1405,1328,459,258,396,355,256,185,383,90,1098,775,307,991,174,473,
营业外支出(万元),22,430,203,147,67,287,124,43,37,130,73,41,6,38,7,2,2,39,29,15,96,133,24,8,11,
非流动资产处置损失(万元),--,--,66,34,34,34,0,0,--,33,34,34,0,0,0,0,0,--,--,--,--,--,0,--,--,
利润总额(万元),9661,32173,23934,15839,7916,26290,19520,12974,6340,17775,14801,9618,4831,15007,11973,7164,3586,11106,8343,9252,8410,4547,6472,3271,2496,
所得税费用(万元),1432,4886,3620,2402,1070,4506,3986,2693,1229,2500,2229,1486,881,2041,1653,996,485,1505,1201,1306,1137,661,947,417,267,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),8228,27286,20314,13436,6846,21784,15535,10281,5111,15276,12571,8133,3950,12965,10320,6168,3101,9601,7141,7946,7273,3886,5525,2853,2229,
归属于母公司所有者的净利润(万元),7722,26005,19148,12730,6447,21132,15194,10170,4963,15078,12462,8064,3950,12965,10320,6168,3101,9601,7141,7946,7273,3886,5525,2853,2229,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),506,1281,1166,706,399,652,341,111,147,198,109,69,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.26,0.97,0.72,0.48,0.24,0.79,0.56,0.38,0.19,0.6,0.5,0.63,0.32,1.3,1.03,0.62,0.31,0.96,0.71,0.79,0.73,0.49,0.69,0.41,0.5,
稀释每股收益,0.26,0.95,0.7,0.47,0.24,0.78,0.56,0.38,0.19,0.6,0.5,0.63,0.32,1.3,1.03,0.62,0.31,0.96,0.71,0.79,0.73,0.49,0.69,0.41,0.5,
