报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),330052,1225004,986288,656277,284805,1057263,774338,457825,209797,735438,502201,306474,138481,439223,298350,195899,84832,287427,194991,123610,43554,184127,133969,95383,44511,162032,118344,84468,41778,128942,98251,68665,34167,119511,88813,60044,24757,84833,60831,42034,21871,104160,82843,59176,27456,78303,61926,42336,18573,61809,47341,28195,13873,
营业收入(万元),330052,1225004,986288,656277,284805,1057263,774338,457825,209797,735438,502201,306474,138481,439223,298350,195899,84832,287427,194991,123610,43554,184127,133969,95383,44511,162032,118344,84468,41778,128942,98251,68665,34167,119511,88813,60044,24757,84833,60831,42034,21871,104160,82843,59176,27456,78303,61926,42336,18573,61809,47341,28195,13873,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,
营业总成本(万元),323911,1420922,965319,641886,274204,1025764,728531,425473,192437,674044,451022,273855,123417,413176,279912,181355,78770,277284,184374,114640,39447,180755,130420,91409,42893,155736,112029,78481,37764,119352,90532,62822,31305,108162,79645,53845,22472,74257,52072,35501,18735,95304,76344,55067,25220,72141,56407,38830,16689,56728,42797,25324,12326,
营业成本(万元),294560,1084016,878183,584698,249012,893474,651575,377790,171847,579468,387921,234769,106353,338381,229548,148474,64811,221168,148892,92646,32384,139396,101518,72111,33951,123522,91340,64848,32593,102754,79007,55606,27874,93571,69016,47176,19652,63709,44802,30725,16041,83245,67564,48630,22323,63322,49890,34312,14843,50094,38119,22280,11051,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,
研发费用(万元),3573,16218,10892,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,0,
