报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),40736,26202,10573,45269,31457,16365,6872,35186,18042,9362,3419,24888,18149,9511,3474,23601,14219,7486,3062,13994,9813,7130,3906,14445,10241,7851,4193,12438,7404,4883,2416,9337,5388,4517,2313,10400,6774,4143,1521,4212,2724,1705,656,6317,5490,4361,1894,11858,7944,5311,3069,
营业收入(万元),40736,26202,10573,45269,31457,16365,6872,35186,18042,9362,3419,24888,18149,9511,3474,23601,14219,7486,3062,13994,9813,7130,3906,14445,10241,7851,4193,12438,7404,4883,2416,9337,5388,4517,2313,10400,6774,4143,1521,4212,2724,1705,656,6317,5490,4361,1894,11858,7944,5311,3069,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),41095,25917,10345,46140,31736,16734,7135,39283,18384,10175,3804,26783,18011,9874,3317,22916,13628,7244,2944,15140,9761,7055,3860,14121,9824,7468,3879,12423,7437,5017,2525,9961,5613,4675,2477,10767,6901,4328,1474,4901,2606,1481,984,9391,6683,5163,2328,13649,8579,5923,3374,
营业成本(万元),35713,22553,9010,39827,27747,14398,6042,34065,15704,8528,3198,23026,15776,8175,2898,20175,12189,6302,2503,12182,8187,6103,3440,11557,8302,6459,3465,10050,6329,4297,2057,8570,5043,4252,2219,9628,6225,3875,1333,3682,2550,1629,616,6089,5232,4209,1820,10919,7156,4802,2761,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,
