报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),3814450,2742541,1390332,564013,2561955,1925079,1249421,557071,1529306,969837,641953,295834,1775439,1267215,844693,333322,2147697,1637541,1187731,564545,2785864,2069869,1389317,625937,2678233,1914886,1289694,543931,2341294,1697814,1114998,449634,1834723,1300160,843727,379129,1400370,1009229,594397,273436,1607989,1265226,867080,354500,1305658,917722,477538,226974,703189,504619,312268,131362,
营业收入(万元),3812801,2741363,1389528,563618,2560325,1924078,1248778,556770,1528096,968895,641279,295501,1773677,1266003,843830,332914,2145483,1635833,1186495,563919,2783907,2068571,1388538,625561,2678098,1914886,1289694,543931,2341294,1697814,1114998,449634,1834723,1300160,843727,379129,1400370,1009229,594397,273436,1607989,1265226,867080,354500,1305658,917722,477538,226974,703189,504619,312268,131362,
利息收入(万元),1650,1177,804,396,1630,1000,643,301,1209,941,674,333,1763,1212,863,408,2214,1709,1235,626,1957,1298,779,376,135,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,--,0,0,--,0,0,0,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,--,0,0,--,0,0,0,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,--,0,0,--,0,0,0,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,0,--,--,0,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,0,--,--,0,0,--,--,
营业总成本(万元),3808029,2727959,1373517,576650,2620511,1911290,1237870,564107,1540333,962991,635815,296982,1783575,1262803,840975,331039,2128861,1616874,1172264,556561,2755860,2040266,1368172,615110,2648681,1882033,1263513,531076,2301524,1664939,1091638,439818,1799052,1272795,823986,370578,1380611,988806,581791,268326,1587964,1239009,846630,346352,1285906,902626,469806,222920,689418,494632,305963,128518,
营业成本(万元),3684231,2649309,1324129,554506,2506528,1843682,1195349,543580,1453111,914918,603013,279770,1711334,1219127,810193,317345,2062911,1574952,1144401,543802,2694933,1995509,1339864,601738,2569275,1831681,1229283,516754,2227079,1610967,1055781,424399,1740263,1228295,791849,356334,1314228,944138,552245,254138,1511828,1193699,814981,330876,1233841,867640,446442,213344,654880,470525,289072,120279,
利息支出(万元),240,177,116,68,207,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,--,0,0,--,0,0,0,--,0,
