报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),118007,69217,22708,169606,104293,65670,17670,107216,137849,120883,93705,83651,
营业收入(万元),118007,69217,22708,169606,104293,65670,17670,107216,137849,120883,93705,83651,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),102852,60087,19955,146511,89110,55268,15095,88831,107662,93420,74540,71769,
营业成本(万元),90863,52711,16265,125916,77684,48360,11833,73703,92259,80374,64228,63899,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),638,520,203,1051,-258,-401,295,1250,1383,1355,1199,893,
销售费用(万元),3684,2238,858,3924,2848,1845,737,3335,2870,2575,2133,1230,
管理费用(万元),7193,4800,2761,10727,7108,4251,1911,8155,8123,7291,6313,5118,
财务费用(万元),1137,635,320,1828,1170,690,319,1560,1415,960,411,373,
资产减值损失(万元),-664,-818,-451,3064,558,524,--,829,1612,865,256,256,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),169,93,16,51,11,4,--,76,88,71,50,-10,
对联营企业和合营企业的投资收益(万元),-92,-53,-9,51,11,4,--,76,88,62,27,-10,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),15324,9222,2768,23147,15195,10406,2575,18460,30276,27533,19215,11872,
营业外收入(万元),1432,1420,3,1505,1475,144,118,1686,26,379,75,53,
营业外支出(万元),6,5,1,52,12,2,0,1,6,5,48,34,
非流动资产处置损失(万元),6,5,1,13,12,2,--,1,2,5,6,25,
利润总额(万元),16750,10637,2770,24600,16658,10548,2694,20146,30295,27907,19243,11891,
所得税费用(万元),2641,1694,450,3911,2650,1671,438,2826,4529,4266,3153,1953,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),14109,8942,2320,20689,14008,8877,2256,17319,25767,23641,16090,9938,
归属于母公司所有者的净利润(万元),14109,8942,2320,20689,14008,8877,2256,17319,25767,23641,16090,9914,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,24,
基本每股收益,0.35,0.22,0.06,0.61,0.42,0.26,0.07,0.51,0.76,0.7,0.72,0.44,
稀释每股收益,0.35,0.22,0.06,0.61,0.42,0.26,0.07,0.51,0.76,0.7,0.72,0.44,
