报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),71630,45978,94893,63081,40334,89770,20268,91108,92903,77802,
营业收入(万元),71630,45978,94893,63081,40334,89770,20268,91108,92903,77802,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),66431,43258,84897,58788,38243,79864,18603,79512,77880,60901,
营业成本(万元),27347,17160,36303,22812,13749,34352,6953,37503,38339,33333,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),710,500,1047,561,344,871,141,767,613,511,
销售费用(万元),25101,16553,30663,22522,15630,28815,7408,27858,25694,18134,
管理费用(万元),10100,6525,12370,9401,6061,11859,3213,10228,9157,7104,
财务费用(万元),326,230,489,331,217,444,32,273,781,-83,
资产减值损失(万元),2846,2291,4026,3160,2242,3523,856,2883,3297,1901,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,
投资收益(万元),150,21,-11,-166,-54,7,53,51,--,1,
对联营企业和合营企业的投资收益(万元),--,--,-177,--,--,-125,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),5349,2741,9985,4128,2037,9914,1718,11646,15023,16902,
营业外收入(万元),652,474,321,271,242,416,15,585,553,595,
营业外支出(万元),132,53,86,61,5,69,35,104,227,210,
非流动资产处置损失(万元),8,1,2,0,0,3,--,19,8,3,
利润总额(万元),5868,3162,10220,4337,2274,10261,1698,12127,15349,17288,
所得税费用(万元),1564,844,2485,1018,444,2735,439,3690,4076,4325,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),4304,2318,7735,3320,1830,7526,1258,8437,11273,12964,
归属于母公司所有者的净利润(万元),4508,2524,7562,3329,1909,7512,1144,8247,11222,12606,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-205,-206,173,-9,-79,15,114,190,50,358,
基本每股收益,0.22,0.13,0.42,0.18,0.11,0.42,0.06,0.46,0.62,--,
稀释每股收益,0.22,0.13,0.42,0.18,0.11,0.42,0.06,0.46,0.62,--,
