报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),13116,7512,2353,17125,8137,5098,2335,15320,7899,4368,12001,9374,10075,7654,
营业收入(万元),13116,7512,2353,17125,8137,5098,2335,15320,7899,4368,12001,9374,10075,7654,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),12387,7375,3090,13763,7409,4941,2514,11788,6619,4107,8876,6638,7689,5321,
营业成本(万元),3671,2286,952,5269,2543,1785,1019,5041,2541,1419,3526,2200,3143,1709,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),208,129,40,240,66,46,12,158,78,43,147,128,236,229,
销售费用(万元),2672,1523,603,2782,1518,1036,517,2392,1197,817,1866,1348,1390,1105,
管理费用(万元),5631,3331,1494,5089,3114,1972,960,4030,2616,1766,3351,2806,2882,2090,
财务费用(万元),-195,-107,-40,-74,-46,-30,-12,-29,-23,-19,-50,-21,-17,-9,
资产减值损失(万元),401,213,41,457,214,131,18,196,211,80,36,178,56,197,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,-21,
投资收益(万元),-57,-32,--,29,-2,--,--,40,0,0,23,--,--,11,
对联营企业和合营企业的投资收益(万元),-57,-32,--,29,-2,--,--,40,0,0,23,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1110,411,-737,3391,727,157,-179,3571,1280,261,3148,2737,2386,2323,
营业外收入(万元),10,9,31,939,652,388,352,681,187,142,481,533,1063,406,
营业外支出(万元),14,0,--,0,0,0,--,2,2,2,8,2,1,1,
非流动资产处置损失(万元),--,--,--,--,--,--,--,2,2,2,8,2,--,1,
利润总额(万元),1105,420,-705,4330,1378,546,173,4251,1466,402,3621,3268,3447,2728,
所得税费用(万元),182,46,5,567,135,31,0,497,105,61,433,388,354,376,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),924,374,-710,3763,1243,514,173,3754,1361,341,3188,2881,3093,2351,
归属于母公司所有者的净利润(万元),1251,486,-591,3830,1231,480,168,3673,1366,336,3119,2778,3092,2351,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-328,-112,-120,-67,12,35,6,81,-6,5,70,102,1,--,
基本每股收益,0.18,0.07,-0.09,0.66,0.22,0.09,0.03,0.72,0.27,0.07,0.61,0.54,0.62,1.65,
稀释每股收益,0.18,0.07,-0.09,0.66,0.22,0.09,0.03,0.72,0.27,0.07,0.61,0.54,0.62,1.65,
