报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),16248,132496,127771,84113,34598,132723,75048,45351,18036,81952,56431,34757,14094,63326,32362,22571,10837,77571,41037,31183,22083,47467,31727,20708,6910,41850,32429,25361,5767,92762,53624,37035,20004,64242,25943,11361,3210,25629,17070,9825,2765,22333,14920,8750,2413,17065,9330,5499,1520,12340,7076,4288,1295,
营业收入(万元),16248,132496,127771,84113,34598,132723,75048,45351,18036,81952,56431,34757,14094,63326,32362,22571,10837,77571,41037,31183,22083,47467,31727,20708,6910,41850,32429,25361,5767,92762,53624,37035,20004,64242,25943,11361,3210,25629,17070,9825,2765,22333,14920,8750,2413,17065,9330,5499,1520,12340,7076,4288,1295,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,0,--,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,0,--,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,0,--,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,0,--,--,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,0,--,--,0,0,0,0,
营业总成本(万元),18421,113789,93061,54152,19596,90936,58539,34760,14784,66872,50201,33494,14296,63445,37729,24627,11642,76863,48231,35884,22844,44280,30003,19953,6658,35539,27892,20529,5349,74001,36581,25829,13890,46581,19485,8743,2492,18733,11909,7553,2094,15985,10043,6522,1776,11619,6290,3974,1086,7833,4492,3081,962,
营业成本(万元),4400,46587,41688,24358,7619,26958,18228,12429,4375,21390,16526,11337,4570,21018,8698,6350,3083,34791,18244,16115,13799,14683,10596,7762,1613,15241,12943,11241,981,42492,19478,14387,9089,28994,9283,2704,752,5985,3991,2508,699,5331,3328,2052,569,4191,2064,1220,351,2862,1681,1196,289,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,0,--,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,0,--,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,0,--,--,0,0,0,0,
研发费用(万元),425,4557,1216,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,0,--,--,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,0,--,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,0,--,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,0,--,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,0,--,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,0,--,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,0,--,--,0,0,0,0,
营业税金及附加(万元),490,2517,1833,1332,598,2142,1403,1076,520,1392,418,245,110,594,383,249,129,567,472,386,287,434,85,80,75,305,288,135,2,818,576,354,127,455,251,142,34,270,186,107,5,256,181,107,29,189,100,52,19,172,96,52,14,
销售费用(万元),986,15122,12744,6609,1753,15826,8053,2453,694,9198,8821,5407,1704,12009,7639,5085,2058,12182,11264,7402,2045,8909,5760,3707,1534,7295,4953,3135,1540,14469,8075,5081,2208,10135,6645,3941,877,8569,5345,3327,734,7859,4760,3181,700,5421,3034,1952,418,3359,1899,1235,348,
管理费用(万元),3819,20792,15321,10161,5067,24563,15495,9798,5021,18204,12078,7694,3638,15278,10222,6368,2915,13590,9082,6213,3593,10376,6247,3528,1544,7845,4686,2791,1222,7891,4495,3025,1176,4278,2010,1450,563,2570,1625,1082,447,1713,1081,691,320,1367,807,563,167,1123,537,397,242,
财务费用(万元),6621,24514,19030,12215,6249,19620,13899,8452,3865,15540,11636,8241,4420,13969,10485,6978,3457,13704,9663,6262,3119,9046,6564,4125,1892,6823,5088,3294,1604,5376,3801,2534,1290,2589,1371,580,266,904,639,407,210,775,530,325,157,369,221,123,67,309,231,153,69,
资产减值损失(万元),1679,-299,1229,-523,-1690,1827,1460,553,309,1148,722,571,-145,576,302,-403,--,2030,-493,-493,--,832,752,752,--,-1970,-67,-67,--,2955,156,449,--,129,-74,-74,--,434,122,122,--,49,165,165,0,83,65,65,65,8,49,49,0,
